Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ACARAPE DO MEIO,2959,12830,000,000,01/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12828,000,000,02/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12827,000,000,03/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12829,000,000,04/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12830,000,000,05/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12829,000,000,06/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12827,000,000,07/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12824,000,000,08/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12820,000,000,09/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12816,000,000,10/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12813,000,000,11/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12810,000,000,12/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12806,000,000,13/01/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12718,000,000,14/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12717,000,000,15/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12716,000,000,16/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12715,000,000,17/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12714,000,000,18/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12713,000,000,19/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12712,000,000,20/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12710,000,000,21/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12708,000,000,22/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12706,000,000,23/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12705,000,000,24/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12703,000,000,25/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12700,000,000,26/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12699,000,000,27/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12699,000,000,28/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12699,000,000,29/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12698,000,000,30/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12698,000,000,31/05/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12698,000,000,01/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12698,000,000,02/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12697,000,000,03/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12698,000,000,04/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12697,000,000,05/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12697,000,000,06/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12697,000,000,07/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12695,000,000,08/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12694,000,000,09/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12692,000,000,10/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12690,000,000,11/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12689,000,000,12/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12649,000,000,30/06/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12647,000,000,01/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12644,000,000,02/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12642,000,000,03/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12639,000,000,04/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12637,000,000,05/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12634,000,000,06/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12632,000,000,07/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12630,000,000,08/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12627,000,000,09/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12625,000,000,10/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12621,000,000,11/07/2010,-38.7993848299,-4.19354599542
Ceará,ACARAPE DO MEIO,2959,12618,000,000,12/07/2010,-38.7993848299,-4.19354599542
