Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ANGICOS,5605,10419,000,000,01/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10419,000,000,02/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10419,000,000,03/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10419,000,000,04/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10419,000,000,05/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,06/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,07/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,08/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,09/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,10/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10418,000,000,11/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10417,000,000,12/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10416,000,000,13/01/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10377,000,000,14/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,15/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10377,000,000,16/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,17/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,18/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,19/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10375,000,000,20/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10375,000,000,21/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10377,000,000,22/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10377,000,000,23/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,24/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,25/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,26/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10376,000,000,27/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10375,000,000,28/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10375,000,000,29/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10374,000,000,30/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10374,000,000,31/05/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10374,000,000,01/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10374,000,000,02/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10373,000,000,03/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10373,000,000,04/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10372,000,000,05/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10373,000,000,06/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10372,000,000,07/06/2010,-40.8204151777,-3.63564653661
Ceará,ANGICOS,5605,10371,000,000,08/06/2010,-40.8204151777,-3.63564653661
