Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ARARAS,89100,14615,37567,4216,15/08/1983,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14584,35978,4038,15/09/1983,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,62672,7034,01/01/1989,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,59891,6722,01/02/1989,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,57189,6418,01/03/1989,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,86090,9662,21/04/1989,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,36401,4085,02/04/1992,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,24616,2763,05/10/1992,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,11313,1270,15/03/1994,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14220,21362,2398,02/01/1995,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,15090,67849,7615,25/08/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,67240,7547,01/09/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,65794,7384,15/09/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,15044,64348,7222,29/09/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,61382,6889,27/10/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14994,60534,6794,06/11/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14976,59337,6660,26/11/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14964,58505,6566,03/12/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14950,57535,6457,18/12/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14929,56080,6294,31/12/1997,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14917,55248,6201,17/01/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14911,54832,6154,30/01/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,54555,6123,12/02/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14907,54555,6123,26/02/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,54555,6123,28/02/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14907,54555,6123,05/03/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,52044,5841,18/03/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,51855,5820,02/04/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,50842,5706,16/04/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14844,50525,5671,23/04/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,49512,5557,14/05/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,48943,5493,20/05/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,48563,5450,30/05/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14804,47993,5386,03/06/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,47393,5319,10/06/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,46468,5215,25/06/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14778,46468,5215,02/07/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,44677,5014,17/07/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,43405,4871,06/08/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,41855,4698,27/08/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14686,41280,4633,03/09/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,41280,4633,10/09/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14663,40286,4521,17/09/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14637,38665,4340,08/10/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,14615,37515,4210,22/10/1998,-40.448598424400004,-4.20951501641
Ceará,ARARAS,89100,000,36992,4152,29/10/1998,-40.448598424400004,-4.20951501641
