Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ARREBITA,1960,11093,000,000,01/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11095,000,000,02/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11095,000,000,03/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11104,000,000,04/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11104,000,000,05/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11103,000,000,06/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11102,000,000,07/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11101,000,000,08/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11100,000,000,09/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11100,000,000,10/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11099,000,000,11/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11099,000,000,12/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11098,000,000,13/01/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11088,000,000,14/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11087,000,000,15/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11086,000,000,16/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11086,000,000,17/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11085,000,000,18/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11084,000,000,19/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11084,000,000,20/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11083,000,000,21/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11082,000,000,22/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11082,000,000,23/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11081,000,000,24/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11081,000,000,25/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11080,000,000,26/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11080,000,000,27/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11079,000,000,28/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11078,000,000,29/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11077,000,000,30/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11076,000,000,31/05/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11078,000,000,01/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11078,000,000,02/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11077,000,000,03/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11077,000,000,04/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11077,000,000,05/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11076,000,000,06/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11075,000,000,07/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11075,000,000,08/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11074,000,000,09/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11074,000,000,10/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11073,000,000,11/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11072,000,000,12/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11061,000,000,30/06/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11060,000,000,01/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11060,000,000,02/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11059,000,000,03/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11058,000,000,04/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11058,000,000,05/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11057,000,000,06/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11056,000,000,07/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11056,000,000,08/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11055,000,000,09/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11054,000,000,10/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11054,000,000,11/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11053,000,000,12/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11052,000,000,13/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11052,000,000,14/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11051,000,000,15/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11050,000,000,16/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11050,000,000,17/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11050,000,000,18/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11049,000,000,19/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11048,000,000,20/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11047,000,000,21/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11046,000,000,22/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11045,000,000,23/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11045,000,000,24/07/2010,-40.2707202921,-3.85306388499
Ceará,ARREBITA,1960,11044,000,000,25/07/2010,-40.2707202921,-3.85306388499
