Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,AYRES DE SOUZA,9680,9278,000,000,01/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9278,000,000,02/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9277,000,000,03/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9277,000,000,04/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9276,000,000,05/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9275,000,000,06/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9274,000,000,07/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9272,000,000,08/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9271,000,000,09/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9270,000,000,10/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9269,000,000,11/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9268,000,000,12/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9266,000,000,13/01/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9127,000,000,14/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9126,000,000,15/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9124,000,000,16/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9123,000,000,17/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9121,000,000,18/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9120,000,000,19/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9119,000,000,20/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9118,000,000,21/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9117,000,000,22/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9116,000,000,23/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9115,000,000,24/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9115,000,000,25/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9114,000,000,26/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9112,000,000,27/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9111,000,000,28/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9110,000,000,29/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9108,000,000,30/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9107,000,000,31/05/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9106,000,000,01/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9106,000,000,02/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9103,000,000,03/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9102,000,000,04/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9102,000,000,05/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9102,000,000,06/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9101,000,000,07/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9099,000,000,08/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9097,000,000,09/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9095,000,000,10/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9094,000,000,11/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9092,000,000,12/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9069,000,000,30/06/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9068,000,000,01/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9067,000,000,02/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9066,000,000,03/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9065,000,000,04/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9063,000,000,05/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9062,000,000,06/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9061,000,000,07/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9059,000,000,08/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9058,000,000,09/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9056,000,000,10/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9055,000,000,11/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9054,000,000,12/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9053,000,000,13/07/2010,-40.4978967562,-3.77962049329
Ceará,AYRES DE SOUZA,9680,9052,000,000,14/07/2010,-40.4978967562,-3.77962049329
