Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,BATENTE,3351,7110,2906,8671,02/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7110,2906,8671,03/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7106,2882,8601,04/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7099,2841,8479,20/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7094,2813,8394,23/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7094,2813,8394,24/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7094,2813,8394,25/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7092,2801,8360,26/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7092,2801,8360,27/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7092,2801,8360,30/04/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7092,2801,8360,03/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7087,2773,8275,04/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7087,2773,8275,07/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7087,2773,8275,08/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7087,2773,8275,09/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7087,2773,8275,11/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7079,2727,8139,15/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7079,2727,8139,16/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7079,2727,8139,17/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7076,2710,8088,21/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7076,2710,8088,22/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7073,2693,8037,24/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7071,2682,8003,28/05/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,nan,2653,7917,11/06/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7057,2602,7765,18/06/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7057,2602,7765,20/06/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7044,2528,7543,16/07/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7043,2522,7526,19/07/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7039,2499,7458,23/07/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7037,2488,7424,26/07/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7035,2477,7390,30/07/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7028,2437,7271,08/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7027,2431,7254,09/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7026,2425,7237,10/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7026,2425,7237,11/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7025,2420,7220,12/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7024,2414,7203,13/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7020,2391,7135,20/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7018,2380,7101,23/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7016,2368,7067,25/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7015,2363,7050,26/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7015,2363,7050,27/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7013,2351,7016,30/08/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7011,2340,6982,01/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7011,2340,6982,02/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7010,2334,6965,03/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7009,2328,6948,04/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7009,2328,6948,05/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7008,2323,6931,06/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7007,2317,6914,07/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7007,2317,6914,08/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7006,2311,6897,09/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7005,2306,6880,10/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7003,2294,6846,13/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7003,2294,6846,14/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7002,2288,6829,15/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7001,2283,6812,16/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7000,2277,6795,17/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,7000,2277,6795,18/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6999,2272,6779,19/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6999,2272,6779,20/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6998,2266,6762,21/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6997,2261,6746,22/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6997,2261,6746,23/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6996,2255,6729,24/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6995,2250,6713,25/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6995,2250,6713,26/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6994,2244,6697,27/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6993,2239,6680,28/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6992,2233,6664,29/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6991,2228,6648,30/09/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6990,2222,6631,01/10/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6989,2217,6615,02/10/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6988,2211,6598,03/10/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6987,2206,6582,04/10/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6958,2046,6107,03/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6958,2046,6107,04/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6957,2041,6090,05/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6957,2041,6090,06/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6956,2035,6074,07/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6956,2035,6074,08/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6955,2030,6058,09/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6954,2025,6041,10/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6954,2025,6041,11/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6953,2019,6025,12/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6951,2008,5992,15/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6950,2003,5976,16/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6949,1997,5959,17/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6949,1997,5959,18/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6948,1992,5943,19/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6946,1981,5910,22/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6945,1975,5894,23/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6945,1975,5894,24/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6944,1970,5878,25/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6943,1964,5861,26/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6942,1959,5845,27/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6941,1953,5828,28/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6940,1948,5812,29/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6939,1942,5796,30/11/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6938,1937,5779,01/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6938,1937,5779,02/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6937,1931,5763,03/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6935,1920,5730,06/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6934,1915,5714,07/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6934,1915,5714,08/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6933,1909,5697,09/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6932,1904,5681,10/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6930,1893,5648,14/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6930,1893,5648,15/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6929,1887,5632,16/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6928,1882,5615,17/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6920,1838,5484,30/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6920,1838,5484,31/12/2012,-38.48875,-4.651008
Ceará,BATENTE,3351,6898,1718,5126,31/01/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6897,1713,5111,01/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6896,1707,5095,02/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6896,1707,5095,03/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6895,1702,5080,04/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6894,1697,5065,05/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6893,1692,5049,06/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6893,1692,5049,07/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6890,1677,5003,11/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6889,1672,4988,12/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6888,1666,4973,13/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6887,1661,4957,14/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6890,1677,5003,15/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6889,1672,4988,16/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6888,1666,4973,17/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6887,1661,4957,18/02/2013,-38.48875,-4.651008
Ceará,BATENTE,3351,6883,1641,4896,28/02/2013,-38.48875,-4.651008
