Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,BROCO,1750,9424,182,1038,03/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9422,179,1023,05/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9420,176,1008,07/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9418,174,993,10/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9416,171,978,12/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9414,169,963,14/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9412,166,947,17/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9410,163,933,19/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9408,161,918,21/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9406,158,902,24/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9404,155,887,26/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9403,154,880,28/09/2012,-40.324,-6.01
Ceará,BROCO,1750,9401,151,865,03/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9401,151,865,04/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9401,151,865,05/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9398,149,851,08/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9396,148,845,10/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9393,146,837,15/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9391,145,830,17/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9388,144,822,19/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9386,143,815,22/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9384,142,810,24/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9380,140,798,28/10/2012,-40.324,-6.01
Ceará,BROCO,1750,9364,131,750,05/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9362,130,744,07/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9370,134,768,09/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9368,133,762,12/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9365,132,753,16/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9362,130,744,19/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9360,129,738,21/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9359,129,735,23/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9357,128,729,26/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9356,127,726,28/11/2012,-40.324,-6.01
Ceará,BROCO,1750,9354,126,721,30/11/2012,-40.324,-6.01
