Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CACHOEIRA,3433,30309,000,000,01/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30309,000,000,02/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30310,000,000,03/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30310,000,000,04/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30309,000,000,05/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30308,000,000,06/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30308,000,000,07/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30307,000,000,08/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30307,000,000,09/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30306,000,000,10/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30306,000,000,11/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30305,000,000,12/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30305,000,000,13/01/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30296,000,000,14/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30296,000,000,15/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30295,000,000,16/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30295,000,000,17/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30294,000,000,18/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30294,000,000,19/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30293,000,000,20/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30293,000,000,21/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30292,000,000,22/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30291,000,000,23/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30290,000,000,24/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30289,000,000,25/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30288,000,000,26/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30287,000,000,27/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30286,000,000,28/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30285,000,000,29/05/2010,-39.102801,-7.020179
Ceará,CACHOEIRA,3433,30284,000,000,30/05/2010,-39.102801,-7.020179
