Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CARÃO,2623,000,1944,7411,01/01/1989,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1964,7486,01/02/1989,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1908,7275,01/03/1989,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,2623,10002,10/04/1989,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1747,6660,10/05/1992,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1487,5667,05/10/1992,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,660,2517,15/03/1994,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,8919,456,1738,02/01/1995,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9438,1818,6930,25/08/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1818,6930,01/09/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1818,6930,15/09/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9397,1659,6324,29/09/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1659,6324,06/10/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1659,6324,27/10/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9397,1659,6324,06/11/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9397,1659,6324,26/11/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9397,1659,6324,03/12/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9352,1523,5806,18/12/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9352,1523,5806,31/12/1997,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9352,1523,5806,17/01/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9352,1523,5806,30/01/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1523,5806,12/02/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9352,1523,5806,26/02/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1523,5806,28/02/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1523,5806,18/03/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,02/04/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,16/04/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,23/04/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,14/05/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,20/05/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,30/05/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,03/06/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,10/06/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,25/06/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,02/07/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,17/07/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,06/08/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,27/08/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,03/09/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,10/09/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,17/09/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,08/10/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,22/10/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,29/10/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,05/11/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,19/11/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,26/11/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,9328,1450,5528,24/12/1998,-40.361733153,-4.81667052184
Ceará,CARÃO,2623,000,1450,5528,31/12/1998,-40.361733153,-4.81667052184
