Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CAXITORÉ,20200,6359,5490,2718,15/08/1983,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6299,4892,2422,15/09/1983,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,15278,7563,01/01/1989,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,14684,7269,01/02/1989,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,14324,7091,01/03/1989,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,10200,5050,25/04/1989,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,7680,3802,02/04/1992,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,8425,4171,10/05/1992,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,6410,3173,05/10/1992,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,1360,673,15/03/1994,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6634,8542,4229,02/01/1995,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,7012,14216,7038,25/08/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,14072,6966,01/09/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,13745,6804,15/09/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6966,13422,6645,29/09/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,13252,6560,06/10/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,13231,6550,17/10/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,000,12912,6392,27/10/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6920,12640,6257,06/11/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6889,12135,6007,26/11/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6880,12000,5941,03/12/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6861,11715,5800,18/12/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6846,11490,5688,31/12/1997,-39.3553731239,-3.7419144402099995
Ceará,CAXITORÉ,20200,6839,11385,5636,17/01/1998,-39.3553731239,-3.7419144402099995
