Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CIPOADA,8609,10171,000,000,01/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10171,000,000,02/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10171,000,000,03/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10170,000,000,04/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10170,000,000,05/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10170,000,000,06/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10169,000,000,07/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10168,000,000,08/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10167,000,000,09/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10166,000,000,10/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10166,000,000,11/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10165,000,000,12/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10164,000,000,13/01/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10120,000,000,14/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10119,000,000,15/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10119,000,000,16/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10118,000,000,17/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10117,000,000,18/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10116,000,000,19/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10116,000,000,20/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10114,000,000,21/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10114,000,000,22/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10113,000,000,23/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10112,000,000,24/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10112,000,000,25/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10111,000,000,26/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10110,000,000,27/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10109,000,000,28/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10109,000,000,29/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10108,000,000,30/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10107,000,000,31/05/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10107,000,000,01/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10106,000,000,02/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10106,000,000,03/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10106,000,000,04/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10107,000,000,05/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10107,000,000,06/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10107,000,000,07/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10106,000,000,08/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10105,000,000,09/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10104,000,000,10/06/2010,-38.645778484699996,-5.261854813919999
Ceará,CIPOADA,8609,10103,000,000,11/06/2010,-38.645778484699996,-5.261854813919999
