Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,COLINA,325,9686,000,000,01/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9694,000,000,02/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9695,000,000,03/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9697,000,000,04/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9700,000,000,05/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9700,000,000,06/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9699,000,000,07/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9699,000,000,08/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9698,000,000,09/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9698,000,000,10/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9698,000,000,11/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9697,000,000,12/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9697,000,000,13/01/2010,-40.712804,-5.840381
Ceará,COLINA,325,9792,000,000,14/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9792,000,000,15/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9791,000,000,16/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9791,000,000,17/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9790,000,000,18/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9790,000,000,19/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9790,000,000,20/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9789,000,000,21/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9788,000,000,22/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9788,000,000,23/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9787,000,000,24/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9787,000,000,25/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9786,000,000,26/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9786,000,000,27/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9785,000,000,28/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9785,000,000,29/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9784,000,000,30/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9784,000,000,31/05/2010,-40.712804,-5.840381
Ceará,COLINA,325,9784,000,000,01/06/2010,-40.712804,-5.840381
Ceará,COLINA,325,9783,000,000,02/06/2010,-40.712804,-5.840381
Ceará,COLINA,325,9783,000,000,03/06/2010,-40.712804,-5.840381
Ceará,COLINA,325,9782,000,000,04/06/2010,-40.712804,-5.840381
