Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CUPIM,455,9651,000,000,01/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9651,000,000,02/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9666,000,000,03/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9666,000,000,04/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9665,000,000,05/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9665,000,000,06/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9664,000,000,07/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9664,000,000,08/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9664,000,000,09/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9664,000,000,10/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9664,000,000,11/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9663,000,000,12/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9663,000,000,13/01/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9633,000,000,14/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9632,000,000,15/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9632,000,000,16/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9631,000,000,17/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9631,000,000,18/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9630,000,000,19/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9630,000,000,20/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9629,000,000,21/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9628,000,000,22/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9627,000,000,23/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9627,000,000,24/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9626,000,000,25/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9626,000,000,26/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9625,000,000,27/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9625,000,000,28/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9624,000,000,29/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9623,000,000,30/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9622,000,000,31/05/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9624,000,000,01/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9624,000,000,02/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9623,000,000,03/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9623,000,000,04/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9622,000,000,05/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9621,000,000,06/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9620,000,000,07/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9619,000,000,08/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9618,000,000,09/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9617,000,000,10/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9616,000,000,11/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9615,000,000,12/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9603,000,000,30/06/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9603,000,000,01/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9602,000,000,02/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9602,000,000,03/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9601,000,000,04/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9601,000,000,05/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9600,000,000,06/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9600,000,000,07/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9599,000,000,08/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9599,000,000,09/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9598,000,000,10/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9597,000,000,11/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9596,000,000,12/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9596,000,000,13/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9595,000,000,14/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9594,000,000,15/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9587,000,000,21/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9586,000,000,22/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9586,000,000,23/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9585,000,000,24/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9584,000,000,25/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9583,000,000,26/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9582,000,000,27/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9581,000,000,28/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9580,000,000,29/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9579,000,000,30/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9578,000,000,31/07/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9577,000,000,01/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9576,000,000,02/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9575,000,000,03/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9574,000,000,04/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9573,000,000,05/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9573,000,000,06/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9572,000,000,07/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9571,000,000,08/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9570,000,000,09/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9569,000,000,10/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9568,000,000,11/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9567,000,000,12/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9566,000,000,13/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9565,000,000,14/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9564,000,000,15/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9563,000,000,16/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9562,000,000,17/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9561,000,000,18/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9560,000,000,19/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9559,000,000,20/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9558,000,000,21/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9557,000,000,22/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9556,000,000,23/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9555,000,000,24/08/2010,-40.204276,-5.470685
Ceará,CUPIM,455,9554,000,000,25/08/2010,-40.204276,-5.470685
