Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CURRAL VELHO,1217,000,1000,8217,10/03/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,02/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,06/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,07/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,08/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,11/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,12/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,13/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,15/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,22/04/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,10/05/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,14/05/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,20/05/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,28/05/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,01/06/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,08/06/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,09/06/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,11/06/2004,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,8440,1000,8217,01/01/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,24/01/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1000,8217,28/01/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,8440,1000,8217,02/02/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,8440,1000,8217,03/03/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1123,9224,28/03/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,000,1123,9224,31/03/2005,-38.383801,-5.04557
Ceará,CURRAL VELHO,1217,8430,1078,8859,05/05/2005,-38.383801,-5.04557
