Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,EDSON QUEIROZ,25400,19930,000,000,01/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19930,000,000,02/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19929,000,000,03/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19929,000,000,04/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19928,000,000,05/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19928,000,000,06/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19927,000,000,07/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19927,000,000,08/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19926,000,000,09/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19926,000,000,10/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19926,000,000,11/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19925,000,000,12/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19925,000,000,13/01/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19845,000,000,01/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19845,000,000,02/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19844,000,000,03/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19842,000,000,04/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19841,000,000,05/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19840,000,000,06/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19839,000,000,07/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19839,000,000,08/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19838,000,000,09/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19838,000,000,10/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19837,000,000,11/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19837,000,000,12/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19819,000,000,30/06/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19818,000,000,01/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19817,000,000,02/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19816,000,000,03/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19815,000,000,04/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19814,000,000,05/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19813,000,000,06/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19813,000,000,07/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19812,000,000,08/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19811,000,000,09/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19810,000,000,10/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19810,000,000,11/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19810,000,000,12/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19809,000,000,13/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19808,000,000,14/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19808,000,000,15/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19807,000,000,16/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19807,000,000,17/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19807,000,000,18/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19806,000,000,19/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19803,000,000,20/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19802,000,000,21/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19801,000,000,22/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19801,000,000,23/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19801,000,000,24/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19801,000,000,25/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19796,000,000,26/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19795,000,000,27/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19794,000,000,28/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19793,000,000,29/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19793,000,000,30/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19792,000,000,31/07/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19791,000,000,01/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19791,000,000,02/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19790,000,000,03/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19790,000,000,04/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19789,000,000,05/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19786,000,000,06/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19784,000,000,07/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19783,000,000,08/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19782,000,000,09/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19781,000,000,10/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19780,000,000,11/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19780,000,000,12/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19778,000,000,13/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19777,000,000,14/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19776,000,000,15/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19775,000,000,16/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19775,000,000,17/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19774,000,000,18/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19768,000,000,24/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19767,000,000,25/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19766,000,000,26/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19765,000,000,27/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19764,000,000,28/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19763,000,000,29/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19762,000,000,30/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19761,000,000,31/08/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19760,000,000,01/09/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19759,000,000,02/09/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19758,000,000,03/09/2010,-40.066569863699996,-4.21537241249
Ceará,EDSON QUEIROZ,25400,19757,000,000,04/09/2010,-40.066569863699996,-4.21537241249
