Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FARIAS DE SOUSA,1223,000,1057,8639,01/01/1989,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,872,7132,01/02/1989,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,835,6823,01/03/1989,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,1224,10005,24/04/1989,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,000,000,02/01/1995,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,8593,363,2968,25/08/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,363,2968,01/09/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,363,2968,15/09/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,8593,363,2968,29/09/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,363,2968,06/10/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,289,2359,27/10/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9186,283,2310,06/11/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9166,265,2169,26/11/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9152,253,2071,03/12/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9129,234,1909,18/12/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9129,234,1909,31/12/1997,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9129,234,1909,17/01/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9114,221,1804,30/01/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,213,1741,12/02/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9105,213,1741,26/02/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,213,1741,28/02/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9092,209,1711,05/03/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,209,1711,18/03/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,193,1577,02/04/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,193,1577,16/04/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9272,189,1542,23/04/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,189,1542,30/04/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,189,1542,14/05/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,189,1542,20/05/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9272,189,1542,03/06/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,189,1542,10/06/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,154,1258,25/06/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9023,154,1258,02/07/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,144,1176,17/07/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,144,1176,06/08/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,144,1176,27/08/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9009,144,1176,03/09/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,000,144,1176,10/09/1998,-40.582480572399994,-4.76698183204
Ceará,FARIAS DE SOUSA,1223,9009,144,1176,17/09/1998,-40.582480572399994,-4.76698183204
