Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FAÉ,1900,23937,000,000,01/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23936,000,000,02/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23936,000,000,03/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23936,000,000,04/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23935,000,000,05/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,06/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,07/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,08/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,09/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,10/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,11/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,12/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23934,000,000,13/01/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23845,000,000,14/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23844,000,000,15/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23844,000,000,16/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23844,000,000,17/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23843,000,000,18/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23842,000,000,19/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23842,000,000,20/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23841,000,000,21/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23841,000,000,22/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23840,000,000,23/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23840,000,000,24/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23839,000,000,25/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23839,000,000,26/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23839,000,000,27/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23839,000,000,28/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23838,000,000,29/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23838,000,000,30/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23838,000,000,31/05/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23838,000,000,01/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23837,000,000,02/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23837,000,000,03/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23837,000,000,04/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23836,000,000,05/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23836,000,000,06/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23836,000,000,07/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23835,000,000,08/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23834,000,000,09/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23834,000,000,10/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23833,000,000,11/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23833,000,000,12/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23824,000,000,30/06/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23822,000,000,01/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23822,000,000,02/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23822,000,000,03/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23822,000,000,04/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23821,000,000,05/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23821,000,000,06/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23820,000,000,07/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23819,000,000,08/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23818,000,000,09/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23817,000,000,10/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23817,000,000,11/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23817,000,000,12/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23816,000,000,13/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23816,000,000,14/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23815,000,000,15/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23815,000,000,16/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23814,000,000,17/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23814,000,000,18/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23813,000,000,19/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23812,000,000,20/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23811,000,000,21/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23811,000,000,22/07/2010,-39.2180849523,-6.161337629219999
Ceará,FAÉ,1900,23810,000,000,23/07/2010,-39.2180849523,-6.161337629219999
