Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FIGUEIREDO,50969,8243,3659,718,05/08/2018,0,0
Ceará,FIGUEIREDO,50969,8243,3659,718,06/08/2018,0,0
Ceará,FIGUEIREDO,50969,8242,3649,716,07/08/2018,0,0
Ceará,FIGUEIREDO,50969,8242,3649,716,08/08/2018,0,0
Ceará,FIGUEIREDO,50969,8240,3627,712,09/08/2018,0,0
Ceará,FIGUEIREDO,50969,8240,3627,712,10/08/2018,0,0
Ceará,FIGUEIREDO,50969,8239,3617,710,11/08/2018,0,0
Ceará,FIGUEIREDO,50969,8239,3617,710,12/08/2018,0,0
Ceará,FIGUEIREDO,50969,8238,3606,707,13/08/2018,0,0
Ceará,FIGUEIREDO,50969,8238,3606,707,14/08/2018,0,0
Ceará,FIGUEIREDO,50969,8237,3595,705,15/08/2018,0,0
Ceará,FIGUEIREDO,50969,8237,3595,705,16/08/2018,0,0
Ceará,FIGUEIREDO,50969,8236,3584,703,17/08/2018,0,0
Ceará,FIGUEIREDO,50969,8235,3574,701,18/08/2018,0,0
Ceará,FIGUEIREDO,50969,8234,3563,699,19/08/2018,0,0
Ceará,FIGUEIREDO,50969,8233,3552,697,20/08/2018,0,0
Ceará,FIGUEIREDO,50969,8232,3542,695,21/08/2018,0,0
Ceará,FIGUEIREDO,50969,8231,3531,693,22/08/2018,0,0
Ceará,FIGUEIREDO,50969,8231,3531,693,23/08/2018,0,0
Ceará,FIGUEIREDO,50969,8230,3520,691,24/08/2018,0,0
Ceará,FIGUEIREDO,50969,8229,3510,689,25/08/2018,0,0
Ceará,FIGUEIREDO,50969,8228,3499,686,26/08/2018,0,0
Ceará,FIGUEIREDO,50969,8228,3499,686,27/08/2018,0,0
Ceará,FIGUEIREDO,50969,8227,3488,684,28/08/2018,0,0
Ceará,FIGUEIREDO,50969,8226,3477,682,29/08/2018,0,0
Ceará,FIGUEIREDO,50969,8225,3467,680,30/08/2018,0,0
Ceará,FIGUEIREDO,50969,8224,3456,678,31/08/2018,0,0
Ceará,FIGUEIREDO,50969,8224,3456,678,01/09/2018,0,0
Ceará,FIGUEIREDO,50969,8223,3445,676,02/09/2018,0,0
Ceará,FIGUEIREDO,50969,8223,3445,676,03/09/2018,0,0
Ceará,FIGUEIREDO,50969,8222,3435,674,04/09/2018,0,0
Ceará,FIGUEIREDO,50969,8221,3424,672,05/09/2018,0,0
Ceará,FIGUEIREDO,50969,8220,3413,670,06/09/2018,0,0
Ceará,FIGUEIREDO,50969,8220,3413,670,07/09/2018,0,0
Ceará,FIGUEIREDO,50969,8219,3403,668,08/09/2018,0,0
Ceará,FIGUEIREDO,50969,8218,3392,665,09/09/2018,0,0
Ceará,FIGUEIREDO,50969,8217,3381,663,10/09/2018,0,0
Ceará,FIGUEIREDO,50969,8216,3370,661,11/09/2018,0,0
Ceará,FIGUEIREDO,50969,8216,3370,661,12/09/2018,0,0
Ceará,FIGUEIREDO,50969,8215,3360,659,13/09/2018,0,0
Ceará,FIGUEIREDO,50969,8214,3349,657,14/09/2018,0,0
Ceará,FIGUEIREDO,50969,8213,3338,655,15/09/2018,0,0
Ceará,FIGUEIREDO,50969,8212,3328,653,16/09/2018,0,0
Ceará,FIGUEIREDO,50969,8212,3328,653,17/09/2018,0,0
Ceará,FIGUEIREDO,50969,8211,3317,651,18/09/2018,0,0
Ceará,FIGUEIREDO,50969,8210,3306,649,19/09/2018,0,0
Ceará,FIGUEIREDO,50969,8209,3296,647,20/09/2018,0,0
Ceará,FIGUEIREDO,50969,8209,3296,647,21/09/2018,0,0
Ceará,FIGUEIREDO,50969,8208,3285,645,22/09/2018,0,0
Ceará,FIGUEIREDO,50969,8207,3274,642,23/09/2018,0,0
Ceará,FIGUEIREDO,50969,8206,3263,640,24/09/2018,0,0
Ceará,FIGUEIREDO,50969,8205,3253,638,25/09/2018,0,0
Ceará,FIGUEIREDO,50969,8204,3242,636,26/09/2018,0,0
Ceará,FIGUEIREDO,50969,8203,3231,634,27/09/2018,0,0
Ceará,FIGUEIREDO,50969,8203,3231,634,28/09/2018,0,0
Ceará,FIGUEIREDO,50969,8202,3221,632,29/09/2018,0,0
Ceará,FIGUEIREDO,50969,8201,3210,630,30/09/2018,0,0
Ceará,FIGUEIREDO,50969,8200,3199,628,01/10/2018,0,0
Ceará,FIGUEIREDO,50969,8199,3189,626,02/10/2018,0,0
Ceará,FIGUEIREDO,50969,8198,3178,624,03/10/2018,0,0
Ceará,FIGUEIREDO,50969,8197,3167,621,04/10/2018,0,0
Ceará,FIGUEIREDO,50969,8197,3167,621,05/10/2018,0,0
Ceará,FIGUEIREDO,50969,8196,3156,619,06/10/2018,0,0
Ceará,FIGUEIREDO,50969,8196,3156,619,07/10/2018,0,0
Ceará,FIGUEIREDO,50969,8195,3145,617,08/10/2018,0,0
Ceará,FIGUEIREDO,50969,8195,3145,617,09/10/2018,0,0
Ceará,FIGUEIREDO,50969,8194,3135,615,10/10/2018,0,0
Ceará,FIGUEIREDO,50969,8193,3124,613,11/10/2018,0,0
Ceará,FIGUEIREDO,50969,8192,3113,611,12/10/2018,0,0
Ceará,FIGUEIREDO,50969,8192,3113,611,13/10/2018,0,0
Ceará,FIGUEIREDO,50969,8191,3102,609,14/10/2018,0,0
Ceará,FIGUEIREDO,50969,8190,3091,606,15/10/2018,0,0
Ceará,FIGUEIREDO,50969,8189,3081,604,16/10/2018,0,0
Ceará,FIGUEIREDO,50969,8188,3070,602,17/10/2018,0,0
Ceará,FIGUEIREDO,50969,8187,3059,600,18/10/2018,0,0
Ceará,FIGUEIREDO,50969,8187,3059,600,19/10/2018,0,0
