Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FLOR DO CAMPO,10500,34986,000,000,01/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34988,000,000,02/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34988,000,000,03/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34989,000,000,04/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34989,000,000,05/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34988,000,000,06/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34988,000,000,07/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34988,000,000,08/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34987,000,000,09/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34987,000,000,10/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34987,000,000,11/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34986,000,000,12/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34985,000,000,13/01/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34957,000,000,14/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34957,000,000,15/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34956,000,000,16/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34955,000,000,17/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34954,000,000,18/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34953,000,000,19/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34952,000,000,20/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34951,000,000,21/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34952,000,000,22/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34949,000,000,23/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34948,000,000,24/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34947,000,000,25/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34946,000,000,26/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34946,000,000,27/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34945,000,000,28/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34945,000,000,29/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34944,000,000,30/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34944,000,000,31/05/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34943,000,000,01/06/2010,-40.6717961812,-5.57067277258
Ceará,FLOR DO CAMPO,10500,34943,000,000,02/06/2010,-40.6717961812,-5.57067277258
