Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FORQUILHA,5013,10417,469,935,15/08/1983,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10375,378,753,15/09/1983,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,3506,6994,01/01/1989,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,3475,6933,01/02/1989,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,3313,6608,01/03/1989,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,5013,10000,25/04/1989,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1640,3271,02/04/1992,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1573,3139,10/05/1992,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,968,1931,05/10/1992,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,587,1171,15/03/1994,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10799,1945,3880,02/01/1995,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10936,2803,5591,25/08/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2588,5163,01/09/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2469,4926,15/09/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10873,2391,4769,29/09/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2331,4649,06/10/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2252,4492,27/10/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10837,2174,4336,06/11/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10816,2047,4083,26/11/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10809,2005,3999,03/12/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10794,1920,3829,18/12/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10784,1869,3728,31/12/1997,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10773,1813,3616,17/01/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10773,1813,3616,30/01/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1640,3271,12/02/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10739,1640,3271,26/02/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1640,3271,28/02/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10739,1640,3271,05/03/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1497,2986,18/03/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1428,2849,02/04/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1428,2849,16/04/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10675,1335,2663,23/04/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1272,2537,14/05/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1268,2529,20/05/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1255,2503,30/05/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10652,1238,2470,03/06/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1230,2453,10/06/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1196,2385,25/06/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10642,1196,2385,02/07/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1120,2234,17/07/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1061,2116,06/08/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,985,1964,27/08/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10575,934,1863,03/09/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,943,1881,10/09/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10575,934,1863,17/09/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10546,837,1669,08/10/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10531,786,1568,22/10/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,786,1568,29/10/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10531,786,1568,05/11/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10499,679,1355,19/11/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,26/11/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10499,679,1355,24/12/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,31/12/1998,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,07/01/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,14/01/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,075,150,21/01/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10499,679,1355,28/01/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1017,2029,30/01/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,25/02/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,913,1821,28/02/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10499,679,1355,04/03/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,679,1355,11/03/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1018,2032,25/03/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,822,1640,30/03/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10700,1441,2875,01/04/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2168,4324,22/04/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2204,4396,29/04/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,768,1532,30/04/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2609,5205,13/05/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10987,3155,6294,27/05/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,735,1466,30/05/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10985,3141,6266,02/06/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10980,3107,6197,24/06/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,650,1297,30/06/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10950,2899,5784,22/07/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2899,5784,29/07/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,570,1137,30/07/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10950,2699,5385,05/08/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10950,2899,5784,12/08/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,468,934,30/08/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2899,5784,23/09/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,376,750,30/09/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10950,2899,5784,28/10/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,10950,2899,5784,04/11/1999,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2311,4610,06/01/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1889,3768,13/01/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1813,3616,27/01/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1880,3750,30/01/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1702,3396,03/02/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1716,3423,14/02/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1711,3413,24/02/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1710,3411,28/02/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1762,3514,02/03/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1762,3514,09/03/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1762,3514,16/03/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1762,3514,23/03/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,1731,3453,30/03/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2524,5034,27/04/2000,-40.2535632298,-3.79604357192
Ceará,FORQUILHA,5013,000,2523,5033,30/04/2000,-40.2535632298,-3.79604357192
