Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FRIOS,3302,000,3303,10002,10/05/1992,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,2846,8620,05/10/1992,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1478,4475,15/03/1994,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4847,2469,7478,02/01/1995,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4677,1692,5123,25/08/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1644,4980,01/09/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1605,4859,15/09/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4643,1605,4859,29/09/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1536,4651,06/10/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1536,4651,17/10/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1485,4497,27/10/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4598,1442,4368,06/11/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4585,1402,4245,26/11/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4573,1364,4131,03/12/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4561,1327,4018,18/12/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4550,1292,3914,31/12/1997,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4547,1284,3887,17/01/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4549,1289,3905,30/01/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1289,3905,12/02/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4549,1289,3905,26/02/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1289,3905,28/02/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4541,1264,3829,05/03/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1252,3791,18/03/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1252,3791,02/04/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1243,3763,16/04/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4534,1243,3763,23/04/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1211,3668,14/05/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1211,3668,20/05/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1777,5381,30/05/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4509,1164,3526,03/06/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1164,3526,10/06/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1128,3417,25/06/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4490,1110,3360,02/07/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1078,3263,17/07/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,1035,3134,06/08/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,981,2972,27/08/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4436,122,368,03/09/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,941,2850,10/09/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4422,928,2809,17/09/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4400,869,2631,08/10/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4400,869,2631,22/10/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,869,2631,29/10/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4400,869,2631,05/11/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,4400,869,2631,19/11/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,759,2299,26/11/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,690,2088,31/12/1998,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,674,2041,07/01/1999,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,663,2007,14/01/1999,-39.295427951,-3.69046238001
Ceará,FRIOS,3302,000,651,1973,21/01/1999,-39.295427951,-3.69046238001
