Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,GAVIÃO,3330,3548,000,000,01/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,02/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,03/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3574,000,000,04/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3578,000,000,05/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3578,000,000,06/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3574,000,000,07/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,08/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,09/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,10/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3550,000,000,11/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3544,000,000,12/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3544,000,000,13/01/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,14/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3550,000,000,15/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3547,000,000,16/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3545,000,000,17/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3542,000,000,18/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3544,000,000,19/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3549,000,000,20/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,21/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,22/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3566,000,000,23/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,24/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,25/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,26/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,27/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3571,000,000,28/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3572,000,000,29/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,30/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3572,000,000,31/05/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3576,000,000,01/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3574,000,000,02/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3572,000,000,03/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3572,000,000,04/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,05/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,06/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3567,000,000,07/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3566,000,000,08/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3566,000,000,09/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,10/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,11/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,12/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,30/06/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,01/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,02/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,03/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,04/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,05/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3565,000,000,06/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3566,000,000,07/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3567,000,000,08/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3567,000,000,09/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,10/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,11/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3569,000,000,12/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,13/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3570,000,000,14/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3569,000,000,15/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,16/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3569,000,000,17/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,18/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3568,000,000,19/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3567,000,000,20/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3566,000,000,21/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,22/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,23/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3564,000,000,24/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,25/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,26/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3559,000,000,27/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,28/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3557,000,000,29/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,30/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,31/07/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,01/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,02/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,03/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,04/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,05/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,06/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3555,000,000,07/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,08/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,09/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,10/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,11/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,12/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,13/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,14/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3560,000,000,15/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3561,000,000,16/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3561,000,000,17/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,18/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3562,000,000,19/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3561,000,000,20/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3559,000,000,21/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3559,000,000,22/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,23/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,24/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3557,000,000,25/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,26/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,27/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,28/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,29/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,30/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,31/08/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3551,000,000,01/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,02/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,03/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,04/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,05/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,06/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,07/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3557,000,000,08/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,09/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,10/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,11/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,12/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,13/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,14/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,15/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,16/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,17/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,18/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,19/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,20/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,21/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,22/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3555,000,000,23/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,24/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,25/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,26/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3557,000,000,27/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3557,000,000,28/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,29/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,30/09/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3555,000,000,01/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,02/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,03/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,04/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3551,000,000,05/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3552,000,000,06/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,07/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3553,000,000,08/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,09/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3554,000,000,10/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3555,000,000,11/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,12/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,13/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3556,000,000,14/10/2010,-38.5553424021,-3.9059618444999997
Ceará,GAVIÃO,3330,3558,000,000,15/10/2010,-38.5553424021,-3.9059618444999997
