Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,GENERAL SAMPAIO,32220,11252,6509,2020,15/08/1983,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11169,5656,1755,15/09/1983,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,25732,7986,01/01/1989,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,32220,10000,21/04/1989,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,8372,2598,10/05/1992,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7631,2368,05/10/1992,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,1597,496,15/03/1994,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,10941,3754,1165,02/01/1995,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11849,16231,5037,25/08/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,16029,4975,01/09/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,15591,4839,15/09/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11790,15120,4693,29/09/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,14933,4635,06/10/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,14933,4635,17/10/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,14312,4442,27/10/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11730,13992,4343,06/11/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11710,13616,4226,26/11/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11690,13240,4109,03/12/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11674,12939,4016,18/12/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11664,12751,3957,31/12/1997,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11664,12751,3957,17/01/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11664,12751,3957,30/01/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,11998,3724,12/02/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11610,11735,3642,26/02/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,11735,3642,28/02/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11610,11735,3642,05/03/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,11340,3519,18/03/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,11189,3473,02/04/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,10907,3385,16/04/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11560,10794,3350,23/04/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,10230,3175,14/05/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,10230,3175,20/05/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9854,3058,30/05/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11510,9854,3058,03/06/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9665,3000,10/06/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9665,3000,25/06/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11500,9665,3000,02/07/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9665,3000,17/07/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,8696,2699,06/08/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,8315,2581,27/08/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11246,7989,2479,03/09/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7858,2439,10/09/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11320,7706,2392,17/09/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11308,7575,2351,08/10/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,22/10/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,29/10/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11308,7575,2351,05/11/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11308,7575,2351,19/11/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,26/11/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,31/12/1998,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,07/01/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,14/01/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,21/01/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11308,7575,2351,28/01/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,10416,3233,30/01/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,25/02/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9775,3034,28/02/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11308,7575,2351,04/03/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,7575,2351,11/03/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,5191,1611,25/03/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,9463,2937,30/03/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,11204,6443,2000,01/04/1999,-39.4537367839,-4.06243387754
Ceará,GENERAL SAMPAIO,32220,000,6095,1892,22/04/1999,-39.4537367839,-4.06243387754
