Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,GERARDO ATIMBONE,400,9897,000,000,02/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9897,000,000,03/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9881,000,000,04/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,20/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,23/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,24/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,25/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,26/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9873,000,000,27/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9867,000,000,30/04/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9867,000,000,03/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9867,000,000,04/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9861,000,000,07/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9861,000,000,08/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9861,000,000,09/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9861,000,000,11/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9856,000,000,15/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9856,000,000,16/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9855,000,000,17/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9851,000,000,21/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9851,000,000,22/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9849,000,000,24/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9849,000,000,28/05/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9835,250,6250,18/06/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9835,250,6250,20/06/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9816,234,5860,16/07/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9813,232,5798,19/07/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9809,229,5715,23/07/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9808,228,5692,26/07/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9806,226,5650,30/07/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9803,224,5588,02/08/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9797,219,5470,07/08/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9796,218,5452,09/08/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9785,210,5255,20/08/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9777,204,5110,01/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9776,204,5092,02/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9775,203,5075,03/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9771,200,5002,07/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9770,199,4985,08/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9769,199,4968,09/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9769,199,4968,10/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9768,198,4950,11/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9767,197,4930,12/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9767,197,4930,13/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9759,192,4788,21/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9758,191,4770,22/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9757,190,4750,23/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9759,192,4788,24/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9758,191,4770,25/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9757,190,4750,26/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9756,189,4732,27/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9752,186,4660,28/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9751,186,4642,29/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9750,185,4625,30/09/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9749,184,4608,01/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9746,182,4552,04/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9745,181,4535,05/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9744,181,4518,06/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9743,180,4500,07/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9742,179,4480,08/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9738,176,4410,12/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9737,176,4390,13/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9736,175,4372,14/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9735,174,4355,15/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9733,173,4320,16/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9732,172,4300,17/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9731,171,4282,18/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9730,171,4265,19/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9725,167,4175,25/10/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9721,164,4102,03/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9720,163,4085,04/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9719,163,4068,05/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9718,162,4050,08/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9717,161,4030,09/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9716,161,4012,10/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9715,160,3995,11/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9714,159,3978,12/11/2012,-39.98873,-3.83483
Ceará,GERARDO ATIMBONE,400,9711,157,3922,15/11/2012,-39.98873,-3.83483
