Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ITAÚNA,7750,3050,000,000,01/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3049,000,000,02/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3048,000,000,03/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3047,000,000,04/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3047,000,000,05/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3045,000,000,06/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3044,000,000,07/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3043,000,000,08/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3041,000,000,09/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3039,000,000,10/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3037,000,000,11/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3035,000,000,12/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3033,000,000,13/01/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3033,000,000,14/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3037,000,000,15/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3040,000,000,16/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3040,000,000,17/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3040,000,000,18/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3041,000,000,19/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3041,000,000,20/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3041,000,000,21/05/2010,-41.1672940639,-3.15241157107
Ceará,ITAÚNA,7750,3041,000,000,22/05/2010,-41.1672940639,-3.15241157107
