Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,JABURU I,13676,71498,000,000,01/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71497,000,000,02/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,03/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,04/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,05/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,06/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71497,000,000,07/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71497,000,000,08/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,09/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,10/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,11/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,12/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71498,000,000,13/01/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,14/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,15/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,16/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,17/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,18/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,19/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,20/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,21/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,22/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71546,000,000,23/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,24/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,25/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,26/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,27/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,28/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,29/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,30/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71545,000,000,31/05/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71544,000,000,01/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71544,000,000,02/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71544,000,000,03/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71544,000,000,04/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71549,000,000,05/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71551,000,000,06/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71552,000,000,07/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71552,000,000,08/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71552,000,000,09/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71553,000,000,10/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71552,000,000,11/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71552,000,000,12/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71542,000,000,30/06/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71541,000,000,01/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71540,000,000,02/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71540,000,000,03/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71539,000,000,04/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71539,000,000,05/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71537,000,000,06/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71537,000,000,07/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71536,000,000,08/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71535,000,000,09/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71534,000,000,10/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71533,000,000,11/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71533,000,000,12/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71532,000,000,13/07/2010,-41.1133035668,-3.8650876702900003
Ceará,JABURU I,13676,71530,000,000,14/07/2010,-41.1133035668,-3.8650876702900003
