Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,JABURU II,11600,10066,000,000,01/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10065,000,000,02/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10065,000,000,03/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10068,000,000,04/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10068,000,000,05/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10067,000,000,06/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10066,000,000,07/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10066,000,000,08/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10065,000,000,09/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10064,000,000,10/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10064,000,000,11/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10063,000,000,12/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10062,000,000,13/01/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10006,000,000,14/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10005,000,000,15/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10004,000,000,16/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10004,000,000,17/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10003,000,000,18/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10002,000,000,19/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10001,000,000,20/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,10000,000,000,21/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9999,000,000,22/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9998,000,000,23/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9997,000,000,24/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9996,000,000,25/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9996,000,000,26/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9995,000,000,27/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9995,000,000,28/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9993,000,000,29/05/2010,-40.4790214295,-5.4169297720800005
Ceará,JABURU II,11600,9992,000,000,30/05/2010,-40.4790214295,-5.4169297720800005
