Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,JUNCO,203,29192,000,000,14/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29192,000,000,15/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29191,000,000,16/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29191,000,000,17/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29191,000,000,18/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29190,000,000,19/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29190,000,000,20/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29190,000,000,21/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29190,000,000,22/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29189,000,000,23/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29189,000,000,24/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29189,000,000,25/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29188,000,000,26/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29188,000,000,27/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29186,000,000,28/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29185,000,000,29/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29184,000,000,30/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29183,000,000,31/05/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29182,000,000,01/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29182,000,000,02/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29181,000,000,03/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29181,000,000,04/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29180,000,000,05/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29180,000,000,06/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29179,000,000,07/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29179,000,000,08/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29178,000,000,09/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29177,000,000,10/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29177,000,000,11/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29176,000,000,12/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29165,000,000,30/06/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29165,000,000,01/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29164,000,000,02/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29163,000,000,03/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29163,000,000,04/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29162,000,000,05/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29162,000,000,06/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29161,000,000,07/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29160,000,000,08/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29159,000,000,09/07/2010,-39.215687,-6.892186
Ceará,JUNCO,203,29158,000,000,10/07/2010,-39.215687,-6.892186
