Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MALCOZINHADO,3784,2340,000,000,01/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2340,000,000,02/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2345,000,000,03/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2353,000,000,04/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2351,000,000,05/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2351,000,000,06/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2350,000,000,07/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2350,000,000,08/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2350,000,000,09/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2349,000,000,10/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2349,000,000,11/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2348,000,000,12/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2348,000,000,13/01/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2333,000,000,14/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2333,000,000,15/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2332,000,000,16/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2332,000,000,17/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2330,000,000,18/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2329,000,000,19/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2329,000,000,20/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2328,000,000,21/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2327,000,000,22/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2326,000,000,23/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2325,000,000,24/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2325,000,000,25/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2323,000,000,26/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2323,000,000,27/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2322,000,000,28/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2320,000,000,29/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2319,000,000,30/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2318,000,000,31/05/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2321,000,000,01/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2322,000,000,02/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2322,000,000,03/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2322,000,000,04/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2321,000,000,05/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2321,000,000,06/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2321,000,000,07/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2320,000,000,08/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2320,000,000,09/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2320,000,000,10/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2319,000,000,11/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2318,000,000,12/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2307,000,000,30/06/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2306,000,000,01/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2305,000,000,02/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2305,000,000,03/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2304,000,000,04/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2303,000,000,05/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2302,000,000,06/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2301,000,000,07/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2301,000,000,08/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2300,000,000,09/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2300,000,000,10/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2299,000,000,11/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2299,000,000,12/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2298,000,000,13/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2298,000,000,14/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2297,000,000,15/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2297,000,000,16/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2296,000,000,17/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2296,000,000,18/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2295,000,000,19/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2293,000,000,20/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2294,000,000,21/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2294,000,000,22/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2293,000,000,23/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2293,000,000,24/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2292,000,000,25/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2292,000,000,26/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2291,000,000,27/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2291,000,000,28/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2290,000,000,29/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2288,000,000,30/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2287,000,000,31/07/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2286,000,000,01/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2285,000,000,02/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2285,000,000,03/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2284,000,000,04/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2283,000,000,05/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2282,000,000,06/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2281,000,000,07/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2280,000,000,08/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2279,000,000,09/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2278,000,000,10/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2277,000,000,11/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2276,000,000,12/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2274,000,000,13/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2273,000,000,14/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2273,000,000,15/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2272,000,000,16/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2272,000,000,17/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2271,000,000,18/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2270,000,000,19/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2270,000,000,20/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2269,000,000,21/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2268,000,000,22/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2267,000,000,23/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2266,000,000,24/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2265,000,000,25/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2264,000,000,26/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2263,000,000,27/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2261,000,000,28/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2260,000,000,29/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2259,000,000,30/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2258,000,000,31/08/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2257,000,000,01/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2256,000,000,02/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2255,000,000,03/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2255,000,000,04/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2254,000,000,05/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2253,000,000,06/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2252,000,000,07/09/2010,-38.2890791497,-4.10582877875
Ceará,MALCOZINHADO,3784,2251,000,000,08/09/2010,-38.2890791497,-4.10582877875
