Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MARANGUAPINHO,935,5137,897,9594,05/08/2018,0,0
Ceará,MARANGUAPINHO,935,5136,894,9561,06/08/2018,0,0
Ceará,MARANGUAPINHO,935,5136,894,9561,07/08/2018,0,0
Ceará,MARANGUAPINHO,935,5136,894,9561,08/08/2018,0,0
Ceará,MARANGUAPINHO,935,5135,891,9529,09/08/2018,0,0
Ceará,MARANGUAPINHO,935,5135,891,9529,10/08/2018,0,0
Ceará,MARANGUAPINHO,935,5135,891,9529,11/08/2018,0,0
Ceará,MARANGUAPINHO,935,5134,888,9497,12/08/2018,0,0
Ceará,MARANGUAPINHO,935,5134,888,9497,13/08/2018,0,0
Ceará,MARANGUAPINHO,935,5134,888,9497,14/08/2018,0,0
Ceará,MARANGUAPINHO,935,5133,886,9476,15/08/2018,0,0
Ceará,MARANGUAPINHO,935,5132,883,9444,16/08/2018,0,0
Ceará,MARANGUAPINHO,935,5132,883,9444,17/08/2018,0,0
Ceará,MARANGUAPINHO,935,5132,883,9444,18/08/2018,0,0
Ceará,MARANGUAPINHO,935,5131,880,9412,19/08/2018,0,0
Ceará,MARANGUAPINHO,935,5131,880,9412,20/08/2018,0,0
Ceará,MARANGUAPINHO,935,5129,874,9348,21/08/2018,0,0
Ceará,MARANGUAPINHO,935,5127,868,9283,22/08/2018,0,0
Ceará,MARANGUAPINHO,935,5127,868,9283,23/08/2018,0,0
Ceará,MARANGUAPINHO,935,5125,862,9219,24/08/2018,0,0
Ceará,MARANGUAPINHO,935,5124,859,9187,25/08/2018,0,0
Ceará,MARANGUAPINHO,935,5123,856,9155,26/08/2018,0,0
Ceará,MARANGUAPINHO,935,5122,854,9134,27/08/2018,0,0
Ceará,MARANGUAPINHO,935,5122,854,9134,28/08/2018,0,0
Ceará,MARANGUAPINHO,935,5121,851,9102,29/08/2018,0,0
Ceará,MARANGUAPINHO,935,5120,848,9070,30/08/2018,0,0
Ceará,MARANGUAPINHO,935,5119,845,9037,31/08/2018,0,0
Ceará,MARANGUAPINHO,935,5118,842,9005,01/09/2018,0,0
Ceará,MARANGUAPINHO,935,5117,839,8973,02/09/2018,0,0
Ceará,MARANGUAPINHO,935,5116,836,8941,03/09/2018,0,0
Ceará,MARANGUAPINHO,935,5116,836,8941,04/09/2018,0,0
Ceará,MARANGUAPINHO,935,5114,830,8877,05/09/2018,0,0
Ceará,MARANGUAPINHO,935,5113,827,8845,06/09/2018,0,0
Ceará,MARANGUAPINHO,935,5112,824,8813,07/09/2018,0,0
Ceará,MARANGUAPINHO,935,5111,822,8791,08/09/2018,0,0
Ceará,MARANGUAPINHO,935,5110,819,8759,09/09/2018,0,0
Ceará,MARANGUAPINHO,935,5109,816,8727,10/09/2018,0,0
Ceará,MARANGUAPINHO,935,5109,816,8727,11/09/2018,0,0
Ceará,MARANGUAPINHO,935,5108,813,8695,12/09/2018,0,0
Ceará,MARANGUAPINHO,935,5107,810,8663,13/09/2018,0,0
Ceará,MARANGUAPINHO,935,5106,807,8631,14/09/2018,0,0
Ceará,MARANGUAPINHO,935,5105,804,8599,15/09/2018,0,0
Ceará,MARANGUAPINHO,935,5105,804,8599,16/09/2018,0,0
Ceará,MARANGUAPINHO,935,5104,801,8567,17/09/2018,0,0
Ceará,MARANGUAPINHO,935,5103,798,8535,18/09/2018,0,0
Ceará,MARANGUAPINHO,935,5102,795,8503,19/09/2018,0,0
Ceará,MARANGUAPINHO,935,5101,792,8471,20/09/2018,0,0
Ceará,MARANGUAPINHO,935,5101,792,8471,21/09/2018,0,0
Ceará,MARANGUAPINHO,935,5100,790,8449,22/09/2018,0,0
Ceará,MARANGUAPINHO,935,5099,787,8417,23/09/2018,0,0
Ceará,MARANGUAPINHO,935,5097,782,8364,24/09/2018,0,0
Ceará,MARANGUAPINHO,935,5095,777,8310,25/09/2018,0,0
Ceará,MARANGUAPINHO,935,5094,775,8289,26/09/2018,0,0
Ceará,MARANGUAPINHO,935,5093,772,8257,27/09/2018,0,0
Ceará,MARANGUAPINHO,935,5092,770,8235,28/09/2018,0,0
Ceará,MARANGUAPINHO,935,5091,767,8203,29/09/2018,0,0
Ceará,MARANGUAPINHO,935,5089,762,8150,30/09/2018,0,0
Ceará,MARANGUAPINHO,935,5088,760,8128,01/10/2018,0,0
Ceará,MARANGUAPINHO,935,5087,757,8096,02/10/2018,0,0
Ceará,MARANGUAPINHO,935,5086,755,8075,03/10/2018,0,0
Ceará,MARANGUAPINHO,935,5085,752,8043,04/10/2018,0,0
Ceará,MARANGUAPINHO,935,5084,750,8021,05/10/2018,0,0
Ceará,MARANGUAPINHO,935,5083,747,7989,06/10/2018,0,0
Ceará,MARANGUAPINHO,935,5082,745,7968,07/10/2018,0,0
Ceará,MARANGUAPINHO,935,5081,742,7936,08/10/2018,0,0
Ceará,MARANGUAPINHO,935,5081,742,7936,09/10/2018,0,0
Ceará,MARANGUAPINHO,935,5080,740,7914,10/10/2018,0,0
Ceará,MARANGUAPINHO,935,5079,737,7882,11/10/2018,0,0
