Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,MUNDAÚ,2130,000,1594,7482,10/05/1992,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1453,6820,05/10/1992,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,714,3350,15/03/1994,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,16514,1982,9307,02/01/1995,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15932,1328,6233,25/08/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1299,6099,01/09/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1247,5854,15/09/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15810,1198,5626,29/09/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1173,5506,06/10/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1086,5098,27/10/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15683,1072,5034,06/11/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15612,1008,4733,26/11/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15557,958,4500,18/12/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15512,918,4308,31/12/1997,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15512,918,4308,17/01/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15485,893,4194,30/01/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,950,4462,12/02/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15548,950,4462,26/02/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,950,4462,28/02/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15572,972,4563,05/03/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1005,4716,18/03/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1072,5034,02/04/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1196,5615,16/04/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15833,1223,5740,23/04/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1318,6188,20/05/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1318,6188,30/05/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15945,1341,6297,03/06/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1341,6297,10/06/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1354,6357,25/06/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15957,1354,6357,02/07/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1346,6317,17/07/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1181,5546,06/08/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,000,1181,5546,27/08/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15771,1157,5431,17/09/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15669,1060,4975,08/10/1998,-39.516132,-3.6336209999999998
Ceará,MUNDAÚ,2130,15610,1006,4724,22/10/1998,-39.516132,-3.6336209999999998
