Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,NOVA FLORESTA,519,10923,444,8551,15/08/1983,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10892,399,7682,15/09/1983,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,402,7753,02/04/1992,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,402,7751,01/05/1992,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,119,2284,15/03/1994,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10590,110,2120,02/01/1995,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10950,485,9349,26/11/1997,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10940,470,9052,03/12/1997,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10924,445,8580,18/12/1997,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10909,422,8137,31/12/1997,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10896,404,7776,17/01/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,401,7728,12/02/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10879,383,7372,26/02/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10879,383,7372,05/03/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,367,7062,18/03/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,445,8580,02/04/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,448,8640,16/04/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10930,455,8757,23/04/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,10956,493,9507,14/05/1998,-38.907803,-5.949262999999999
Ceará,NOVA FLORESTA,519,000,485,9349,20/05/1998,-38.907803,-5.949262999999999
