Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PACAJUS,24000,3733,000,000,01/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3732,000,000,02/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3732,000,000,03/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3735,000,000,04/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3735,000,000,05/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3735,000,000,06/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3734,000,000,07/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3734,000,000,08/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3733,000,000,09/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3733,000,000,10/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3733,000,000,11/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3732,000,000,12/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3732,000,000,13/01/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3759,000,000,14/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3758,000,000,15/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3758,000,000,16/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3757,000,000,17/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3756,000,000,18/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3755,000,000,19/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3755,000,000,20/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3754,000,000,21/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3753,000,000,22/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3752,000,000,23/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3751,000,000,24/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3749,000,000,25/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3748,000,000,26/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3748,000,000,27/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3746,000,000,28/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3744,000,000,29/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3743,000,000,30/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3742,000,000,31/05/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3742,000,000,01/06/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3740,000,000,02/06/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3739,000,000,03/06/2010,-38.3838534079,-4.22225681679
Ceará,PACAJUS,24000,3738,000,000,04/06/2010,-38.3838534079,-4.22225681679
