Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PEDRAS BRANCAS,43404,000,8850,2039,01/01/1983,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,5660,1304,01/06/1983,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,4328,997,31/12/1983,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,43405,10000,05/05/1989,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,17363,4000,10/05/1992,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,16805,3872,05/10/1992,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6445,1485,15/03/1994,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11855,8718,2008,25/08/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,8718,2008,01/09/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,8297,1912,15/09/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11824,8031,1850,29/09/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,7876,1815,06/10/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,7469,1721,27/10/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11794,7408,1707,06/11/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11776,7133,1643,26/11/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6723,1549,03/12/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11765,6965,1605,18/12/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11751,6751,1555,31/12/1997,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11744,6645,1531,17/01/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11742,6614,1524,30/01/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6507,1499,12/02/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11729,6415,1478,26/02/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6415,1478,28/02/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6125,1411,18/03/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6125,1411,02/04/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,6080,1401,16/04/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11702,6003,1383,23/04/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11676,5606,1292,03/05/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11690,5820,1341,14/05/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,5759,1327,20/05/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,1038,239,30/05/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,5514,1270,10/06/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,5362,1235,25/06/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11654,5270,1214,02/07/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,5117,1179,17/07/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,4973,1146,06/08/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,4613,1063,27/08/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11606,4537,1045,03/09/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,4461,1028,10/09/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11601,4461,1028,17/09/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11576,4210,970,08/10/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11560,4053,934,22/10/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,4053,934,29/10/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11542,3877,893,05/11/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11529,3749,864,19/11/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,3680,848,26/11/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,11498,3445,794,24/12/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,3386,780,31/12/1998,-38.8777544386,-5.14985135743
Ceará,PEDRAS BRANCAS,43404,000,3427,790,07/01/1999,-38.8777544386,-5.14985135743
