Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PENEDO,241,99650,000,000,01/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99649,000,000,02/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99648,000,000,03/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99647,000,000,04/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99646,000,000,05/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99645,000,000,06/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99644,000,000,07/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99643,000,000,08/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99642,000,000,09/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99641,000,000,10/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99640,000,000,11/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99639,000,000,12/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99638,000,000,13/01/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99628,000,000,14/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99627,000,000,15/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99626,000,000,16/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99626,000,000,17/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99625,000,000,18/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99624,000,000,19/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99623,000,000,20/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99622,000,000,21/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99621,000,000,22/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99620,000,000,23/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99619,000,000,24/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99618,000,000,25/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99617,000,000,26/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99616,000,000,27/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99615,000,000,28/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99615,000,000,29/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99614,000,000,30/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99613,000,000,31/05/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99612,000,000,01/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99610,000,000,02/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99609,000,000,03/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99608,000,000,04/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99607,000,000,05/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99606,000,000,06/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99607,000,000,07/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99606,000,000,08/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99605,000,000,09/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99604,000,000,10/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99603,000,000,11/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99602,000,000,12/06/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99572,000,000,10/07/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99571,000,000,11/07/2010,-38.744555,-3.970682
Ceará,PENEDO,241,99570,000,000,12/07/2010,-38.744555,-3.970682
