Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,PIRABIBU,7400,24367,000,000,01/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24366,000,000,02/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24365,000,000,03/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24364,000,000,04/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24364,000,000,05/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24364,000,000,06/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24363,000,000,07/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24363,000,000,08/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24362,000,000,09/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24361,000,000,10/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24361,000,000,11/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24360,000,000,12/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24360,000,000,13/01/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24337,000,000,14/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24337,000,000,15/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24336,000,000,16/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,17/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,18/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,19/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24334,000,000,20/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24334,000,000,21/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24334,000,000,22/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24333,000,000,23/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24333,000,000,24/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24332,000,000,25/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24332,000,000,26/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24331,000,000,27/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24330,000,000,28/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24330,000,000,29/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24329,000,000,30/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24328,000,000,31/05/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24327,000,000,01/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24326,000,000,02/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24326,000,000,03/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24330,000,000,04/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,05/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24336,000,000,06/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24336,000,000,07/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,08/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24335,000,000,09/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24334,000,000,10/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24333,000,000,11/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24332,000,000,12/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24321,000,000,30/06/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24321,000,000,01/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24320,000,000,02/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24320,000,000,03/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24319,000,000,04/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24319,000,000,05/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24318,000,000,06/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24317,000,000,07/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24317,000,000,08/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24316,000,000,09/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24316,000,000,10/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24315,000,000,11/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24315,000,000,12/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24314,000,000,13/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24314,000,000,14/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24313,000,000,15/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24313,000,000,16/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24312,000,000,17/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24312,000,000,18/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24311,000,000,19/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24310,000,000,20/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24309,000,000,21/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24309,000,000,22/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24308,000,000,23/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24307,000,000,24/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24306,000,000,25/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24306,000,000,26/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24305,000,000,27/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24305,000,000,28/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24304,000,000,29/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24303,000,000,30/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24302,000,000,31/07/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24301,000,000,01/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24299,000,000,02/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24298,000,000,03/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24298,000,000,04/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24297,000,000,05/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24296,000,000,06/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24296,000,000,07/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24295,000,000,08/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24295,000,000,09/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24294,000,000,10/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24294,000,000,11/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24293,000,000,12/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24293,000,000,13/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24292,000,000,14/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24291,000,000,15/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24290,000,000,16/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24290,000,000,17/08/2010,-39.3657924914,-4.980754081080001
Ceará,PIRABIBU,7400,24289,000,000,18/08/2010,-39.3657924914,-4.980754081080001
