Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SANTO ANTÔNIO,083,5363,000,000,01/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5363,000,000,02/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5364,000,000,03/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5364,000,000,04/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5363,000,000,05/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5363,000,000,06/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5362,000,000,07/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5362,000,000,08/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5361,000,000,09/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5361,000,000,10/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5360,000,000,11/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5360,000,000,12/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5359,000,000,13/01/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5349,000,000,14/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5348,000,000,15/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5348,000,000,16/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5348,000,000,17/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5347,000,000,18/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5347,000,000,19/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5346,000,000,20/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5346,000,000,21/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5345,000,000,22/05/2010,-38.370149,-5.898912
Ceará,SANTO ANTÔNIO,083,5345,000,000,23/05/2010,-38.370149,-5.898912
