Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SÃO DOMINGOS II,225,60026,000,000,01/01/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59912,000,000,26/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59910,000,000,27/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59909,000,000,28/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59908,000,000,29/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59906,000,000,30/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59905,000,000,31/05/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59905,000,000,01/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59903,000,000,02/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59904,000,000,03/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59903,000,000,04/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59902,000,000,05/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59900,000,000,06/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59899,000,000,07/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59898,000,000,08/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59896,000,000,09/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59895,000,000,10/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59893,000,000,11/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59892,000,000,12/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59870,000,000,30/06/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59869,000,000,01/07/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59868,000,000,02/07/2010,-39.28301,-7.029354
Ceará,SÃO DOMINGOS II,225,59865,000,000,03/07/2010,-39.28301,-7.029354
