Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1098,5705,01/01/1983,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,821,4262,01/06/1983,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,393,2041,31/12/1983,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,22/03/1989,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1535,7975,02/04/1992,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1871,9721,10/05/1992,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1690,8777,05/10/1992,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,15/03/1994,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9713,1531,7951,25/08/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1531,7951,01/09/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1531,7951,15/09/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9787,1413,7338,29/09/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1413,7338,06/10/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1314,6828,27/10/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9760,1314,6828,06/11/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9751,1279,6644,26/11/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9738,1311,6811,18/12/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9720,1157,6011,31/12/1997,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9641,1122,5827,17/01/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9641,1122,5827,30/01/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1122,5827,12/02/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9602,1086,5644,26/02/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1086,5644,28/02/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9695,1062,5515,05/03/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1072,5568,18/03/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1255,6521,02/04/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1334,6929,16/04/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9765,1334,6929,23/04/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1291,6705,20/05/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1255,6521,30/05/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9745,1255,6521,03/06/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1216,6317,10/06/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1185,6154,25/06/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9727,1149,5967,02/07/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1149,5970,17/07/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1094,5684,06/08/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1045,5428,27/08/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1011,5254,10/09/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9666,964,5009,17/09/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9652,917,4765,08/10/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9637,867,4503,22/10/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,827,4294,29/10/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9625,827,4294,05/11/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,8506,763,3962,19/11/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,763,3962,26/11/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9506,763,3962,24/12/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,650,3378,31/12/1998,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,650,3378,07/01/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,650,3378,14/01/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,650,3378,21/01/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9567,650,3378,28/01/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,631,3276,25/02/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9580,687,3567,04/03/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9750,1432,7440,10/03/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,687,3567,11/03/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,01/04/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,22/04/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,29/04/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,13/05/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,27/05/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,02/06/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1926,10005,24/06/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9877,1821,9462,22/07/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1821,9462,29/07/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9864,1771,9202,05/08/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9864,1771,9202,12/08/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1576,8187,23/09/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9823,1576,8187,30/09/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1432,7440,21/10/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,9772,1361,7072,18/11/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1306,6784,30/12/1999,0,0
Ceará,SÃO PEDRO TIMBAÚBA,1925,000,1306,6786,13/01/2000,0,0
