Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,SÃO VICENTE,984,000,470,4771,01/01/1983,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,367,3730,01/06/1983,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,058,585,31/12/1983,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,985,10005,09/04/1989,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,10055,755,7670,25/08/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,687,6978,01/09/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,665,6758,15/09/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9970,638,6479,29/09/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,638,6479,06/10/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,574,5830,27/10/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9876,522,5309,06/11/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9822,460,4678,26/11/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9822,460,4678,03/12/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9800,435,4421,18/12/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9800,435,4421,31/12/1997,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9800,435,4421,17/01/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9800,435,4421,30/01/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,433,4400,12/02/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9796,431,4380,26/02/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,431,4380,28/02/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9796,431,4380,05/03/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,320,3247,18/03/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,321,3262,02/04/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,321,3262,16/04/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9692,329,3341,23/04/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,329,3341,14/05/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,330,3349,20/05/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,30/05/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9690,327,3325,03/06/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,10/06/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,25/06/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9690,327,3325,02/07/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,17/07/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,06/08/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,000,327,3325,27/08/1998,-40.263431,-3.397075
Ceará,SÃO VICENTE,984,9690,327,3325,03/09/1998,-40.263431,-3.397075
