Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TATAJUBA,272,21908,000,000,01/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21909,000,000,02/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21911,000,000,03/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21910,000,000,04/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21910,000,000,05/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21909,000,000,06/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21908,000,000,07/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21908,000,000,08/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21907,000,000,09/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21907,000,000,10/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21925,000,000,11/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21906,000,000,12/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21909,000,000,13/01/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21939,000,000,14/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21939,000,000,15/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21939,000,000,16/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21938,000,000,17/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21937,000,000,18/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21937,000,000,19/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21936,000,000,20/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21935,000,000,21/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21935,000,000,22/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21934,000,000,23/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21934,000,000,24/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21933,000,000,25/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21933,000,000,26/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21932,000,000,27/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21932,000,000,28/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21931,000,000,29/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21931,000,000,30/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21930,000,000,31/05/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21930,000,000,01/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21930,000,000,02/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21929,000,000,03/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21928,000,000,04/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21927,000,000,05/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21927,000,000,06/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21926,000,000,07/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21926,000,000,08/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21925,000,000,09/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21924,000,000,10/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21924,000,000,11/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21923,000,000,12/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21913,000,000,30/06/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21912,000,000,01/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21912,000,000,02/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21911,000,000,03/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21911,000,000,04/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21910,000,000,05/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21909,000,000,06/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21908,000,000,07/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21907,000,000,08/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21907,000,000,09/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21906,000,000,10/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21905,000,000,11/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21905,000,000,12/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21904,000,000,13/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21904,000,000,14/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21904,000,000,15/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21903,000,000,16/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21902,000,000,17/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21902,000,000,18/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21901,000,000,19/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21900,000,000,20/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21900,000,000,21/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21899,000,000,22/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21899,000,000,23/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21899,000,000,24/07/2010,-39.08259,-6.4159120000000005
Ceará,TATAJUBA,272,21898,000,000,25/07/2010,-39.08259,-6.4159120000000005
