Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,THOMÁS OSTERNE,2878,43912,000,000,01/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43911,000,000,02/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43910,000,000,03/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43912,000,000,04/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43911,000,000,05/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43910,000,000,06/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43909,000,000,07/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43909,000,000,08/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43908,000,000,09/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43908,000,000,10/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43907,000,000,11/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43907,000,000,12/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43908,000,000,13/01/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43863,000,000,14/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43863,000,000,15/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43862,000,000,16/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43861,000,000,17/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43860,000,000,18/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43859,000,000,19/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43857,000,000,20/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43856,000,000,21/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43855,000,000,22/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43854,000,000,23/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43853,000,000,24/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43852,000,000,25/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43851,000,000,26/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43849,000,000,27/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43848,000,000,28/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43847,000,000,29/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43845,000,000,30/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43844,000,000,31/05/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43843,000,000,01/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43842,000,000,02/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43841,000,000,03/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43840,000,000,04/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43839,000,000,05/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43837,000,000,06/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43836,000,000,07/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43835,000,000,08/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43833,000,000,09/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43832,000,000,10/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43831,000,000,11/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43830,000,000,12/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43808,000,000,30/06/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43807,000,000,01/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43806,000,000,02/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43804,000,000,03/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43802,000,000,04/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43801,000,000,05/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43799,000,000,06/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43798,000,000,07/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43797,000,000,08/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43796,000,000,09/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43795,000,000,10/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43794,000,000,11/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43793,000,000,12/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43792,000,000,13/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43791,000,000,14/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43790,000,000,15/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43789,000,000,16/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43787,000,000,17/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43786,000,000,18/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43785,000,000,19/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43783,000,000,20/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43781,000,000,21/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43779,000,000,22/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43777,000,000,23/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43776,000,000,24/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43777,000,000,25/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43772,000,000,26/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43771,000,000,27/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43769,000,000,28/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43768,000,000,29/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43767,000,000,30/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43765,000,000,31/07/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43767,000,000,01/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43765,000,000,02/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43763,000,000,03/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43760,000,000,04/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43757,000,000,05/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43756,000,000,06/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43755,000,000,07/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43754,000,000,08/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43752,000,000,09/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43750,000,000,10/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43745,000,000,11/08/2010,-39.4869088371,-7.0907780781800005
Ceará,THOMÁS OSTERNE,2878,43744,000,000,12/08/2010,-39.4869088371,-7.0907780781800005
