Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,TIJUQUINHA,097,36398,000,000,01/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36401,000,000,02/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36403,000,000,03/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,04/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36413,000,000,05/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36412,000,000,06/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,07/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,08/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,09/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,10/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,11/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36411,000,000,12/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,13/01/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36417,000,000,14/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,15/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,16/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,17/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,18/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,19/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36415,000,000,20/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,21/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,22/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,23/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,24/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36409,000,000,25/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36408,000,000,26/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36408,000,000,27/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36408,000,000,28/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,29/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,30/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,31/05/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,01/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,02/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,03/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,04/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,05/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,06/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,07/06/2010,-38.894027,-4.317856
Ceará,TIJUQUINHA,097,36410,000,000,08/06/2010,-38.894027,-4.317856
