Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,UBALDINHO,3180,29360,000,000,01/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29361,000,000,02/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29360,000,000,03/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29361,000,000,04/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29360,000,000,05/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29359,000,000,06/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29358,000,000,07/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29357,000,000,08/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29356,000,000,09/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29355,000,000,10/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29358,000,000,11/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29357,000,000,12/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29356,000,000,13/01/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29308,000,000,14/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29308,000,000,15/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29307,000,000,16/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29306,000,000,17/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29305,000,000,18/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29305,000,000,19/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29304,000,000,20/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29303,000,000,21/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29302,000,000,22/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29301,000,000,23/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29301,000,000,24/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29300,000,000,25/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29300,000,000,26/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29299,000,000,27/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29298,000,000,28/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29298,000,000,29/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29297,000,000,30/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29296,000,000,31/05/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29296,000,000,01/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29295,000,000,02/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29294,000,000,03/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29294,000,000,04/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29293,000,000,05/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29292,000,000,06/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29291,000,000,07/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29290,000,000,08/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29289,000,000,09/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29288,000,000,10/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29287,000,000,11/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29286,000,000,12/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29273,000,000,30/06/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29272,000,000,01/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29271,000,000,02/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29270,000,000,03/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29269,000,000,04/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29268,000,000,05/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29267,000,000,06/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29266,000,000,07/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29265,000,000,08/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29264,000,000,09/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29263,000,000,10/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29262,000,000,11/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29261,000,000,12/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29260,000,000,13/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29259,000,000,14/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29258,000,000,15/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29257,000,000,16/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29256,000,000,17/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29255,000,000,18/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29254,000,000,19/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29253,000,000,20/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29252,000,000,21/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29251,000,000,22/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29250,000,000,23/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29249,000,000,24/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29248,000,000,25/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29247,000,000,26/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29246,000,000,27/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29245,000,000,28/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29244,000,000,29/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29243,000,000,30/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29242,000,000,31/07/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29241,000,000,01/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29240,000,000,02/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29239,000,000,03/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29238,000,000,04/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29237,000,000,05/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29236,000,000,06/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29235,000,000,07/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29234,000,000,08/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29233,000,000,09/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29232,000,000,10/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29231,000,000,11/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29230,000,000,12/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29229,000,000,13/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29228,000,000,14/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29227,000,000,15/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29226,000,000,16/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29225,000,000,17/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29224,000,000,18/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29223,000,000,19/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29222,000,000,20/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29221,000,000,21/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29220,000,000,22/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29219,000,000,23/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29218,000,000,24/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29217,000,000,25/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29216,000,000,26/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29215,000,000,27/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29214,000,000,28/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29213,000,000,29/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29212,000,000,30/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29210,000,000,31/08/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29209,000,000,01/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29208,000,000,02/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29207,000,000,03/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29206,000,000,04/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29205,000,000,05/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29204,000,000,06/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29203,000,000,07/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29202,000,000,08/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29201,000,000,09/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29200,000,000,10/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29198,000,000,11/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29197,000,000,12/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29196,000,000,13/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29194,000,000,14/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29193,000,000,15/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29191,000,000,16/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29190,000,000,17/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29189,000,000,18/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29188,000,000,19/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29187,000,000,20/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29185,000,000,21/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29183,000,000,22/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29181,000,000,23/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29180,000,000,24/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29179,000,000,25/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29178,000,000,26/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29177,000,000,27/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29176,000,000,28/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29175,000,000,29/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29174,000,000,30/09/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29174,000,000,01/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29172,000,000,02/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29171,000,000,03/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29170,000,000,04/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29169,000,000,05/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29169,000,000,06/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29168,000,000,07/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29167,000,000,08/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29166,000,000,09/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29165,000,000,10/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29164,000,000,11/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29163,000,000,12/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29163,000,000,13/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29161,000,000,14/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29160,000,000,15/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29159,000,000,16/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29158,000,000,17/10/2010,-39.2375639263,-6.58385878059
Ceará,UBALDINHO,3180,29157,000,000,18/10/2010,-39.2375639263,-6.58385878059
