Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,UMARI,3504,000,794,2267,02/04/1992,-39.551388,-4.809116
Ceará,UMARI,3504,000,881,2514,10/05/1992,-39.551388,-4.809116
Ceará,UMARI,3504,000,726,2071,05/10/1992,-39.551388,-4.809116
Ceará,UMARI,3504,000,184,524,15/03/1994,-39.551388,-4.809116
Ceará,UMARI,3504,43680,1626,4639,25/08/1997,-39.551388,-4.809116
Ceará,UMARI,3504,000,1626,4639,01/09/1997,-39.551388,-4.809116
Ceará,UMARI,3504,000,1533,4375,15/09/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43622,1472,4201,29/09/1997,-39.551388,-4.809116
Ceará,UMARI,3504,000,1441,4113,06/10/1997,-39.551388,-4.809116
Ceará,UMARI,3504,000,1385,3951,27/10/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43589,1385,3951,06/11/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43575,1348,3846,26/11/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43575,1348,3846,03/12/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43515,1189,3392,18/12/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43501,1152,3286,31/12/1997,-39.551388,-4.809116
Ceará,UMARI,3504,43490,1135,3239,17/01/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1134,3235,12/02/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43501,1152,3286,26/02/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1135,3239,05/03/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1139,3251,18/03/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1139,3251,02/04/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1151,3285,16/04/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43503,1157,3301,23/04/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43490,1135,3239,14/05/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1118,3191,20/05/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1135,3239,30/05/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43490,1135,3239,03/06/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1135,3239,10/06/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1069,3052,25/06/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43432,1054,3008,02/07/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1040,2968,17/07/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,1040,2968,06/08/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,949,2709,27/08/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43357,949,2709,03/09/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,949,2709,10/09/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43315,891,2542,17/09/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43315,891,2542,08/10/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43315,891,2542,22/10/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,896,2557,29/10/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43315,891,2542,05/11/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43195,723,2063,19/11/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,704,2008,26/11/1998,-39.551388,-4.809116
Ceará,UMARI,3504,43153,664,1896,24/12/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,617,1761,31/12/1998,-39.551388,-4.809116
Ceará,UMARI,3504,000,617,1761,07/01/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,617,1761,14/01/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43119,617,1761,28/01/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43119,617,1761,04/02/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,949,2709,25/02/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43357,949,2709,04/03/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,949,2709,11/03/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1573,4488,25/03/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43660,1573,4488,01/04/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1705,4866,22/04/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1853,5289,29/04/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1853,5289,13/05/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43878,2150,6136,27/05/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43878,2150,6136,02/06/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1973,5630,24/06/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43809,1967,5614,22/07/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1967,5614,29/07/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43787,1909,5448,05/08/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43787,1909,5448,12/08/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1800,5137,23/09/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43740,1800,5137,30/09/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1800,5137,21/10/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43740,1800,5137,28/10/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43740,1800,5137,04/11/1999,-39.551388,-4.809116
Ceará,UMARI,3504,43740,1800,5137,18/11/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1800,5137,30/12/1999,-39.551388,-4.809116
Ceará,UMARI,3504,000,1355,3867,27/01/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1800,5137,30/01/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1366,3898,24/02/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1360,3881,28/02/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1472,4201,16/03/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1512,4314,23/03/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1482,4229,30/03/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1483,4231,27/04/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1482,4229,30/04/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1483,4231,04/05/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1482,4229,30/05/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1483,4231,31/05/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1702,4858,15/06/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,30/06/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,14/07/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,30/07/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,11/08/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,25/08/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1668,4760,30/08/2000,-39.551388,-4.809116
Ceará,UMARI,3504,42594,1398,3989,22/09/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1397,3987,30/09/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1344,3836,06/10/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43570,1344,3836,13/10/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1414,4035,15/10/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43570,344,983,20/10/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1397,3987,30/10/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43494,1141,3255,24/11/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1397,3987,30/11/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43494,1141,3255,22/12/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43494,1141,3255,29/12/2000,-39.551388,-4.809116
Ceará,UMARI,3504,000,1397,3987,30/12/2000,-39.551388,-4.809116
Ceará,UMARI,3504,43494,1141,3255,26/01/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1140,3253,30/01/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1140,3253,28/02/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1016,2900,16/03/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1039,2964,23/03/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1038,2962,30/03/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1039,2964,27/04/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,1038,2962,30/04/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,974,2781,25/05/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,974,2780,30/05/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43347,935,2669,22/06/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,935,2669,29/06/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,935,2668,30/06/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43347,935,2669,06/07/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43347,935,2669,27/07/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,935,2668,30/07/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43347,935,2669,17/08/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,935,2668,30/08/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43347,935,2669,14/09/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,664,1896,28/09/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,664,1895,30/09/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,664,1896,05/10/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,664,1895,30/10/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43113,609,1737,01/11/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,608,1735,30/11/2001,-39.551388,-4.809116
Ceará,UMARI,3504,000,686,1958,30/12/2001,-39.551388,-4.809116
Ceará,UMARI,3504,43164,679,1938,04/01/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43188,713,2035,11/01/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43445,1072,3060,25/01/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1072,3059,30/01/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1072,3060,01/02/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43469,1105,3153,08/02/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1104,3151,28/02/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1131,3228,15/03/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1246,3556,30/03/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1238,3533,30/04/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43544,1265,3609,06/05/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43534,1239,3536,20/05/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1238,3533,30/05/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43524,1212,3457,17/06/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1169,3336,30/06/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43508,1169,3336,01/07/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1169,3336,08/07/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43508,1169,3336,15/07/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1169,3336,22/07/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,1100,3139,30/07/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43458,1090,3111,19/08/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,900,2568,30/08/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43422,908,2591,02/09/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43422,900,2568,09/09/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,900,2568,16/09/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,958,2734,30/09/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43364,958,2734,07/10/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43364,958,2734,14/10/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43364,958,2734,21/10/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,938,2677,30/10/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,938,2677,04/11/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,938,2677,11/11/2002,-39.551388,-4.809116
Ceará,UMARI,3504,43349,938,2677,17/11/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,938,2677,25/11/2002,-39.551388,-4.809116
Ceará,UMARI,3504,000,802,2289,30/01/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,852,2432,28/02/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1180,3367,22/04/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1179,3365,30/04/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1352,3858,30/05/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1326,3785,03/06/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1326,3785,17/06/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1326,3784,30/06/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1267,3616,30/07/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1136,3243,05/08/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1136,3243,12/08/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,1091,3114,30/08/2003,-39.551388,-4.809116
Ceará,UMARI,3504,43434,1057,3016,16/09/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,998,2848,30/09/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,953,2721,14/10/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,937,2673,21/10/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,890,2540,30/10/2003,-39.551388,-4.809116
Ceará,UMARI,3504,43315,891,2542,04/11/2003,-39.551388,-4.809116
Ceará,UMARI,3504,000,2558,7301,03/03/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2741,7822,30/03/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2757,7868,06/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2781,7938,07/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2794,7972,13/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2781,7938,22/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2777,7924,27/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2790,7961,30/04/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2871,8192,11/05/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2875,8204,12/05/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2575,7348,13/05/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2879,8215,30/05/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2875,8204,15/06/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2871,8192,16/06/2004,-39.551388,-4.809116
Ceará,UMARI,3504,000,2871,8192,30/06/2004,-39.551388,-4.809116
