Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ACARAÚ MIRIM,5200,11174,3170,6096,15/08/1983,0,0
Ceará,ACARAÚ MIRIM,5200,11153,3047,5860,15/09/1983,0,0
Ceará,ACARAÚ MIRIM,5200,000,4642,8927,01/01/1989,0,0
Ceará,ACARAÚ MIRIM,5200,000,4736,9108,01/02/1989,0,0
Ceará,ACARAÚ MIRIM,5200,000,4705,9048,01/03/1989,0,0
Ceará,ACARAÚ MIRIM,5200,000,5200,10000,31/03/1989,0,0
Ceará,ACARAÚ MIRIM,5200,000,5200,10000,02/04/1992,0,0
Ceará,ACARAÚ MIRIM,5200,000,5200,10000,10/05/1992,0,0
Ceará,ACARAÚ MIRIM,5200,000,4466,8588,05/10/1992,0,0
Ceará,ACARAÚ MIRIM,5200,000,5035,9683,15/03/1994,0,0
Ceará,ACARAÚ MIRIM,5200,8000,4416,8492,02/01/1995,0,0
Ceará,ACARAÚ MIRIM,5200,11441,4842,9312,25/08/1997,0,0
Ceará,ACARAÚ MIRIM,5200,000,4658,8957,01/09/1997,0,0
Ceará,ACARAÚ MIRIM,5200,000,4599,8844,15/09/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11383,4435,8528,29/09/1997,0,0
Ceará,ACARAÚ MIRIM,5200,000,4385,8433,06/10/1997,0,0
Ceará,ACARAÚ MIRIM,5200,000,4255,8182,27/10/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11354,4255,8182,06/11/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11322,4056,7801,26/11/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11317,4025,7741,03/12/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11306,3957,7610,18/12/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11295,3890,7481,31/12/1997,0,0
Ceará,ACARAÚ MIRIM,5200,11287,3842,7388,17/01/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11287,3812,7331,30/01/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3806,7319,12/02/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11281,3806,7319,26/02/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3806,7319,28/02/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11262,3692,7100,05/03/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3674,7065,18/03/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3818,7342,02/04/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3914,7527,16/04/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11299,3914,7527,23/04/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3884,7469,14/05/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3872,7446,20/05/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3848,7400,30/05/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11284,3824,7354,03/06/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3788,7285,10/06/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3734,7181,25/06/1998,0,0
Ceará,ACARAÚ MIRIM,5200,11264,3704,7123,02/07/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3644,7008,17/07/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3530,6788,06/08/1998,0,0
Ceará,ACARAÚ MIRIM,5200,000,3410,6558,27/08/1998,0,0
