Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ARACOIABA,17070,9434,000,000,01/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9434,000,000,02/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9434,000,000,03/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9436,000,000,04/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9435,000,000,05/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9435,000,000,06/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9435,000,000,07/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9435,000,000,08/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9434,000,000,09/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9434,000,000,10/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9433,000,000,11/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9433,000,000,12/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9432,000,000,13/01/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9460,000,000,14/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9460,000,000,15/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9460,000,000,16/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9459,000,000,17/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9459,000,000,18/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9458,000,000,19/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9457,000,000,20/05/2010,-38.695724978200005,-4.40220028355
Ceará,ARACOIABA,17070,9457,000,000,21/05/2010,-38.695724978200005,-4.40220028355
