Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ARNEIROZ II,19706,36605,000,000,01/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36604,000,000,02/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36603,000,000,03/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36602,000,000,04/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36606,000,000,05/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36606,000,000,06/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36605,000,000,07/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36604,000,000,08/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36603,000,000,09/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36602,000,000,10/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36604,000,000,11/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36604,000,000,12/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36604,000,000,13/01/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36545,000,000,14/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36544,000,000,15/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36544,000,000,16/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36543,000,000,17/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36542,000,000,18/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36542,000,000,19/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36541,000,000,20/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36541,000,000,21/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36540,000,000,22/05/2010,-40.220220464,-6.27146638594
Ceará,ARNEIROZ II,19706,36540,000,000,23/05/2010,-40.220220464,-6.27146638594
