Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,BARRA VELHA,9950,33238,000,000,01/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33238,000,000,02/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33237,000,000,03/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33239,000,000,04/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33238,000,000,05/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33238,000,000,06/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33237,000,000,07/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33237,000,000,08/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33236,000,000,09/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33236,000,000,10/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33236,000,000,11/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33235,000,000,12/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33235,000,000,13/01/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33190,000,000,14/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33189,000,000,15/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33189,000,000,16/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33188,000,000,17/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33188,000,000,18/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33187,000,000,19/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33186,000,000,20/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33185,000,000,21/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33185,000,000,22/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33184,000,000,23/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33183,000,000,24/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33180,000,000,25/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33179,000,000,26/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33179,000,000,27/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33179,000,000,28/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33178,000,000,29/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33178,000,000,30/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33178,000,000,31/05/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33179,000,000,01/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33179,000,000,02/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33178,000,000,03/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33178,000,000,04/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33177,000,000,05/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33176,000,000,06/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33176,000,000,07/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33175,000,000,08/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33174,000,000,09/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33173,000,000,10/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33173,000,000,11/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33172,000,000,12/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33160,000,000,30/06/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33159,000,000,01/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33158,000,000,02/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33158,000,000,03/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33157,000,000,04/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33157,000,000,05/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33156,000,000,06/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33155,000,000,07/07/2010,-40.173444,-5.293534999999999
Ceará,BARRA VELHA,9950,33154,000,000,08/07/2010,-40.173444,-5.293534999999999
