Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,BARRAGEM DO BATALHÃO,153,9892,115,7516,05/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9891,114,7451,06/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9890,114,7451,07/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9889,113,7386,08/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9888,113,7386,09/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9887,112,7320,10/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9886,112,7320,11/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9885,111,7255,12/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9884,111,7255,13/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9883,110,7190,14/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9882,110,7190,15/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9881,109,7124,16/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9880,109,7124,17/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9879,108,7059,18/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9878,108,7059,19/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9877,107,6993,20/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9875,106,6928,21/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9874,106,6928,22/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9873,106,6928,23/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9872,105,6863,24/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9870,104,6797,25/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9868,103,6732,27/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9868,103,6732,28/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9867,103,6732,29/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9866,102,6667,30/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9865,102,6667,31/08/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9863,101,6601,01/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9861,100,6536,02/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9860,099,6471,03/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9859,099,6471,04/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9858,098,6405,05/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9857,098,6405,06/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9856,098,6405,07/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9855,097,6340,08/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9855,097,6340,09/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9854,097,6340,10/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9853,096,6275,11/09/2018,-40.65618,-5.1944099999999995
Ceará,BARRAGEM DO BATALHÃO,153,9852,096,6275,12/09/2018,-40.65618,-5.1944099999999995
