Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,BONITO,600,9681,019,317,15/09/1983,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,389,6482,01/01/1989,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,388,6460,01/02/1989,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,368,6133,01/03/1989,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,600,10000,17/04/1989,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,144,2397,10/05/1992,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,105,1743,05/10/1992,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,000,000,02/01/1995,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10226,311,5183,25/08/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,311,5183,15/09/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10226,311,5183,29/09/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,311,5183,01/10/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,311,5183,06/10/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,273,4552,27/10/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10186,273,4552,06/11/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10186,273,4552,26/11/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10186,273,4552,03/12/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,18/12/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,31/12/1997,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,17/01/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,30/01/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,224,3730,12/02/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,26/02/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,224,3730,28/02/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10128,224,3730,05/03/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,224,3730,18/03/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,02/04/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,16/04/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,23/04/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,14/05/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,20/05/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,30/05/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,03/06/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,10/06/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,25/06/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,02/07/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,17/07/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,06/08/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,27/08/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,03/09/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,10/09/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,17/09/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,08/10/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,22/10/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,29/10/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,05/11/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,19/11/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,26/11/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,24/12/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,31/12/1998,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,07/01/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,14/01/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,174,2900,21/01/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,10063,174,2900,28/01/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,073,1217,30/01/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,063,1050,28/02/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,058,967,30/03/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,080,1333,01/04/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,080,1333,22/04/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,080,1333,29/04/1999,-40.684951,-4.3098849999999995
Ceará,BONITO,600,000,050,833,30/04/1999,-40.684951,-4.3098849999999995
