Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CALDEIRÕES,113,9939,091,8053,05/08/2018,0,0
Ceará,CALDEIRÕES,113,9938,091,8053,06/08/2018,0,0
Ceará,CALDEIRÕES,113,9937,091,8053,07/08/2018,0,0
Ceará,CALDEIRÕES,113,9937,091,8053,08/08/2018,0,0
Ceará,CALDEIRÕES,113,9937,091,8053,09/08/2018,0,0
Ceará,CALDEIRÕES,113,9936,090,7965,10/08/2018,0,0
Ceará,CALDEIRÕES,113,9936,090,7965,11/08/2018,0,0
Ceará,CALDEIRÕES,113,9935,090,7965,12/08/2018,0,0
Ceará,CALDEIRÕES,113,9935,090,7965,13/08/2018,0,0
Ceará,CALDEIRÕES,113,9935,090,7965,14/08/2018,0,0
Ceará,CALDEIRÕES,113,9934,090,7965,15/08/2018,0,0
Ceará,CALDEIRÕES,113,9934,090,7965,16/08/2018,0,0
Ceará,CALDEIRÕES,113,9933,089,7876,17/08/2018,0,0
Ceará,CALDEIRÕES,113,9933,089,7876,18/08/2018,0,0
Ceará,CALDEIRÕES,113,9932,089,7876,19/08/2018,0,0
Ceará,CALDEIRÕES,113,9932,089,7876,20/08/2018,0,0
Ceará,CALDEIRÕES,113,9931,088,7788,21/08/2018,0,0
Ceará,CALDEIRÕES,113,9930,088,7788,22/08/2018,0,0
Ceará,CALDEIRÕES,113,9929,088,7788,23/08/2018,0,0
Ceará,CALDEIRÕES,113,9928,087,7699,24/08/2018,0,0
Ceará,CALDEIRÕES,113,9927,087,7699,25/08/2018,0,0
Ceará,CALDEIRÕES,113,9926,087,7699,26/08/2018,0,0
Ceará,CALDEIRÕES,113,9925,086,7611,27/08/2018,0,0
Ceará,CALDEIRÕES,113,9923,086,7611,28/08/2018,0,0
Ceará,CALDEIRÕES,113,9922,085,7522,29/08/2018,0,0
Ceará,CALDEIRÕES,113,9921,085,7522,30/08/2018,0,0
Ceará,CALDEIRÕES,113,9920,085,7522,31/08/2018,0,0
Ceará,CALDEIRÕES,113,9919,084,7434,01/09/2018,0,0
Ceará,CALDEIRÕES,113,9918,084,7434,02/09/2018,0,0
Ceará,CALDEIRÕES,113,9917,083,7345,03/09/2018,0,0
Ceará,CALDEIRÕES,113,9916,083,7345,04/09/2018,0,0
Ceará,CALDEIRÕES,113,9915,083,7345,05/09/2018,0,0
Ceará,CALDEIRÕES,113,9914,082,7257,06/09/2018,0,0
Ceará,CALDEIRÕES,113,9913,082,7257,07/09/2018,0,0
Ceará,CALDEIRÕES,113,9912,082,7257,08/09/2018,0,0
Ceará,CALDEIRÕES,113,9911,081,7168,09/09/2018,0,0
Ceará,CALDEIRÕES,113,9910,081,7168,10/09/2018,0,0
Ceará,CALDEIRÕES,113,9909,081,7168,11/09/2018,0,0
Ceará,CALDEIRÕES,113,9908,080,7080,12/09/2018,0,0
Ceará,CALDEIRÕES,113,9907,080,7080,13/09/2018,0,0
Ceará,CALDEIRÕES,113,9906,080,7080,14/09/2018,0,0
Ceará,CALDEIRÕES,113,9905,079,6991,15/09/2018,0,0
Ceará,CALDEIRÕES,113,9904,079,6991,16/09/2018,0,0
Ceará,CALDEIRÕES,113,9903,078,6903,17/09/2018,0,0
Ceará,CALDEIRÕES,113,9902,078,6903,18/09/2018,0,0
Ceará,CALDEIRÕES,113,9901,078,6903,19/09/2018,0,0
Ceará,CALDEIRÕES,113,9900,077,6814,20/09/2018,0,0
Ceará,CALDEIRÕES,113,9899,077,6814,21/09/2018,0,0
Ceará,CALDEIRÕES,113,9898,077,6814,22/09/2018,0,0
Ceará,CALDEIRÕES,113,9897,076,6726,23/09/2018,0,0
Ceará,CALDEIRÕES,113,9896,076,6726,24/09/2018,0,0
Ceará,CALDEIRÕES,113,9895,076,6726,25/09/2018,0,0
Ceará,CALDEIRÕES,113,9894,075,6637,26/09/2018,0,0
Ceará,CALDEIRÕES,113,9893,075,6637,27/09/2018,0,0
Ceará,CALDEIRÕES,113,9892,075,6637,28/09/2018,0,0
Ceará,CALDEIRÕES,113,9891,075,6637,29/09/2018,0,0
Ceará,CALDEIRÕES,113,9890,074,6549,30/09/2018,0,0
Ceará,CALDEIRÕES,113,9889,074,6549,01/10/2018,0,0
Ceará,CALDEIRÕES,113,9888,074,6549,02/10/2018,0,0
Ceará,CALDEIRÕES,113,9887,073,6460,03/10/2018,0,0
Ceará,CALDEIRÕES,113,9886,073,6460,04/10/2018,0,0
Ceará,CALDEIRÕES,113,9885,073,6460,05/10/2018,0,0
Ceará,CALDEIRÕES,113,9884,072,6372,06/10/2018,0,0
Ceará,CALDEIRÕES,113,9883,072,6372,07/10/2018,0,0
Ceará,CALDEIRÕES,113,9882,072,6372,08/10/2018,0,0
Ceará,CALDEIRÕES,113,9881,071,6283,09/10/2018,0,0
Ceará,CALDEIRÕES,113,9880,071,6283,10/10/2018,0,0
Ceará,CALDEIRÕES,113,9879,071,6283,11/10/2018,0,0
Ceará,CALDEIRÕES,113,9878,070,6195,12/10/2018,0,0
Ceará,CALDEIRÕES,113,9877,070,6195,13/10/2018,0,0
Ceará,CALDEIRÕES,113,9876,070,6195,14/10/2018,0,0
Ceará,CALDEIRÕES,113,9875,069,6106,15/10/2018,0,0
Ceará,CALDEIRÕES,113,9874,069,6106,16/10/2018,0,0
Ceará,CALDEIRÕES,113,9873,069,6106,17/10/2018,0,0
