Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CANAFÍSTULA,1311,10002,000,000,01/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10004,000,000,02/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10003,000,000,03/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10003,000,000,04/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10002,000,000,05/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10001,000,000,06/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10001,000,000,07/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10000,000,000,08/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,10000,000,000,09/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9999,000,000,10/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9999,000,000,11/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9998,000,000,12/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9998,000,000,13/01/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9984,000,000,14/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9983,000,000,15/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9983,000,000,16/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9982,000,000,17/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9982,000,000,18/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9981,000,000,19/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9980,000,000,20/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9979,000,000,21/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9978,000,000,22/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9977,000,000,23/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9977,000,000,24/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9976,000,000,25/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9975,000,000,26/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9974,000,000,27/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9977,000,000,28/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9976,000,000,29/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9976,000,000,30/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9975,000,000,31/05/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9975,000,000,01/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9974,000,000,02/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9976,000,000,03/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9976,000,000,04/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9975,000,000,05/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9974,000,000,06/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9973,000,000,07/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9973,000,000,08/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9972,000,000,09/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9971,000,000,10/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9970,000,000,11/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9969,000,000,12/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9957,000,000,30/06/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9956,000,000,01/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9953,000,000,02/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9954,000,000,03/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9954,000,000,04/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9953,000,000,05/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9953,000,000,06/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9952,000,000,07/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9951,000,000,08/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9950,000,000,09/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9949,000,000,10/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9948,000,000,11/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9948,000,000,12/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9947,000,000,13/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9947,000,000,14/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9946,000,000,15/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9945,000,000,16/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9945,000,000,17/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9944,000,000,18/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9944,000,000,19/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9944,000,000,20/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9943,000,000,21/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9942,000,000,22/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9942,000,000,23/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9941,000,000,24/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9940,000,000,25/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9939,000,000,26/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9938,000,000,27/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9937,000,000,28/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9936,000,000,29/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9935,000,000,30/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9934,000,000,31/07/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9933,000,000,01/08/2010,-38.3179973854,-5.86834198717
Ceará,CANAFÍSTULA,1311,9932,000,000,02/08/2010,-38.3179973854,-5.86834198717
