Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CANOAS,6925,39146,000,000,01/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39145,000,000,02/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39145,000,000,03/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39145,000,000,04/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39144,000,000,05/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39143,000,000,06/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39142,000,000,07/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39141,000,000,08/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39141,000,000,09/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39140,000,000,10/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39140,000,000,11/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39140,000,000,12/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39139,000,000,13/01/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39102,000,000,14/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39102,000,000,15/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39101,000,000,16/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39101,000,000,17/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39100,000,000,18/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39099,000,000,19/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39099,000,000,20/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39098,000,000,21/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39097,000,000,22/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39097,000,000,23/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39097,000,000,24/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39096,000,000,25/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39096,000,000,26/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39095,000,000,27/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39094,000,000,28/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39094,000,000,29/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39094,000,000,30/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39093,000,000,31/05/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39093,000,000,01/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39093,000,000,02/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39092,000,000,03/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39091,000,000,04/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39091,000,000,05/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39091,000,000,06/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39090,000,000,07/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39090,000,000,08/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39089,000,000,09/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39088,000,000,10/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39087,000,000,11/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39087,000,000,12/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39075,000,000,30/06/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39075,000,000,01/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39074,000,000,02/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39073,000,000,03/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39072,000,000,04/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39072,000,000,05/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39071,000,000,06/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39069,000,000,07/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39068,000,000,08/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39067,000,000,09/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39067,000,000,10/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39066,000,000,11/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39066,000,000,12/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39065,000,000,13/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39064,000,000,14/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39063,000,000,15/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39062,000,000,16/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39060,000,000,17/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39059,000,000,18/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39058,000,000,19/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39056,000,000,20/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39055,000,000,21/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39054,000,000,22/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39053,000,000,23/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39053,000,000,24/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39049,000,000,25/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39048,000,000,26/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39046,000,000,27/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39045,000,000,28/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39044,000,000,29/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39042,000,000,30/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39041,000,000,31/07/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39040,000,000,01/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39038,000,000,02/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39037,000,000,03/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39035,000,000,04/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39037,000,000,05/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39032,000,000,06/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39032,000,000,07/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39030,000,000,08/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39029,000,000,09/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39028,000,000,10/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39027,000,000,11/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39026,000,000,12/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39024,000,000,13/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39023,000,000,14/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39022,000,000,15/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39022,000,000,16/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39020,000,000,17/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39019,000,000,18/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39018,000,000,19/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39016,000,000,20/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39015,000,000,21/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39013,000,000,22/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39012,000,000,23/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39010,000,000,24/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39009,000,000,25/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39009,000,000,26/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39007,000,000,27/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39006,000,000,28/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39005,000,000,29/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39004,000,000,30/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39003,000,000,31/08/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39001,000,000,01/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,39000,000,000,02/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38999,000,000,03/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38998,000,000,04/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38997,000,000,05/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38996,000,000,06/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38994,000,000,07/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38993,000,000,08/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38992,000,000,09/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38991,000,000,10/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38990,000,000,11/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38988,000,000,12/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38986,000,000,13/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38984,000,000,14/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38983,000,000,15/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38982,000,000,16/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38980,000,000,17/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38978,000,000,18/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38979,000,000,19/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38976,000,000,20/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38974,000,000,21/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38972,000,000,22/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38971,000,000,23/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38969,000,000,24/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38968,000,000,25/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38966,000,000,26/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38965,000,000,27/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38963,000,000,28/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38962,000,000,29/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38960,000,000,30/09/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38959,000,000,01/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38958,000,000,02/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38956,000,000,03/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38954,000,000,04/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38953,000,000,05/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38952,000,000,06/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38950,000,000,07/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38948,000,000,08/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38947,000,000,09/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38945,000,000,10/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38944,000,000,11/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38943,000,000,12/10/2010,-39.94061022,-6.94638721095
Ceará,CANOAS,6925,38941,000,000,13/10/2010,-39.94061022,-6.94638721095
