Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CAPITÃO MOR,600,9643,000,000,01/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9643,000,000,02/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9643,000,000,03/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9644,000,000,04/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9643,000,000,05/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9643,000,000,06/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9642,000,000,07/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9641,000,000,08/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9641,000,000,09/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9640,000,000,10/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9639,000,000,11/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9639,000,000,12/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9639,000,000,13/01/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9603,000,000,14/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9602,000,000,15/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9602,000,000,16/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9601,000,000,17/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9600,000,000,18/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9599,000,000,19/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9599,000,000,20/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9598,000,000,21/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9598,000,000,22/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9597,000,000,23/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9596,000,000,24/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9595,000,000,25/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9595,000,000,26/05/2010,-39.99916198,-5.626210127999999
Ceará,CAPITÃO MOR,600,9595,000,000,27/05/2010,-39.99916198,-5.626210127999999
