Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CASTANHÃO,670000,000,45128,674,25/01/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,45128,674,30/04/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7420,42040,627,06/05/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7492,45129,674,20/05/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,45660,681,30/05/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7510,45934,686,17/06/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,44910,670,30/06/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7505,45706,682,01/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,45260,676,08/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7487,44910,670,15/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,44736,668,22/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7483,44736,668,29/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,43510,649,30/07/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7425,42247,631,19/08/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,40878,610,30/08/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7392,40878,610,02/09/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7375,40234,601,09/09/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,39631,592,16/09/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,35718,533,30/09/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7290,36877,550,07/10/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7269,35718,533,14/10/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,7246,35238,526,21/10/2002,-38.4502293061,-5.48909482144
Ceará,CASTANHÃO,670000,000,34442,514,30/10/2002,-38.4502293061,-5.48909482144
