Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,CASTRO,6390,15020,000,000,01/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15020,000,000,02/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15020,000,000,03/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15020,000,000,04/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15020,000,000,05/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15018,000,000,06/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15017,000,000,07/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15016,000,000,08/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15016,000,000,09/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15016,000,000,10/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15015,000,000,11/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15014,000,000,12/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,15014,000,000,13/01/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14963,000,000,14/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14963,000,000,15/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14962,000,000,16/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14961,000,000,17/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14960,000,000,18/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14959,000,000,19/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14958,000,000,20/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14957,000,000,21/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14957,000,000,22/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14956,000,000,23/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14955,000,000,24/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14954,000,000,25/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14953,000,000,26/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14953,000,000,27/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14952,000,000,28/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14951,000,000,29/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14951,000,000,30/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14951,000,000,31/05/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14950,000,000,01/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14949,000,000,02/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14949,000,000,03/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14948,000,000,04/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14948,000,000,05/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14948,000,000,06/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14948,000,000,07/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14948,000,000,08/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14947,000,000,09/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14947,000,000,10/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14946,000,000,11/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14945,000,000,12/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14934,000,000,30/06/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14933,000,000,01/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14933,000,000,02/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14932,000,000,03/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14931,000,000,04/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14930,000,000,05/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14929,000,000,06/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14928,000,000,07/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14927,000,000,08/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14927,000,000,09/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14926,000,000,10/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14926,000,000,11/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14924,000,000,12/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14923,000,000,13/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14923,000,000,14/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14922,000,000,15/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14921,000,000,16/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14920,000,000,17/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14920,000,000,18/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14919,000,000,19/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14918,000,000,20/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14918,000,000,21/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14917,000,000,22/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14916,000,000,23/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14916,000,000,24/07/2010,-38.932369564,-4.56489990367
Ceará,CASTRO,6390,14915,000,000,25/07/2010,-38.932369564,-4.56489990367
