Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,DESTERRO,501,99747,000,000,01/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99746,000,000,02/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99746,000,000,03/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99745,000,000,04/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99744,000,000,05/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99743,000,000,06/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99742,000,000,07/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99741,000,000,08/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99740,000,000,09/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99740,000,000,10/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99739,000,000,11/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99739,000,000,12/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99739,000,000,13/01/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99682,000,000,14/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99681,000,000,15/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99681,000,000,16/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99680,000,000,17/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99680,000,000,18/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99679,000,000,19/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99678,000,000,20/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99677,000,000,21/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99676,000,000,22/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99675,000,000,23/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99674,000,000,24/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99673,000,000,25/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99673,000,000,26/05/2010,-39.115126000000004,-4.058951
Ceará,DESTERRO,501,99672,000,000,27/05/2010,-39.115126000000004,-4.058951
