Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,DO CORONEL,177,33230,000,000,01/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33230,000,000,02/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33230,000,000,03/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33230,000,000,04/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33230,000,000,05/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33229,000,000,06/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33228,000,000,07/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33230,000,000,08/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33231,000,000,09/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33229,000,000,10/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33229,000,000,11/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33228,000,000,12/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33227,000,000,13/01/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33159,000,000,14/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33159,000,000,15/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33159,000,000,16/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33162,000,000,17/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33162,000,000,18/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33160,000,000,19/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33159,000,000,20/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33158,000,000,21/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33157,000,000,22/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33156,000,000,23/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33155,000,000,24/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33154,000,000,25/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33153,000,000,26/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33153,000,000,27/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33152,000,000,28/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33152,000,000,29/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33151,000,000,30/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33151,000,000,31/05/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33150,000,000,01/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33150,000,000,02/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33149,000,000,03/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33148,000,000,04/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33147,000,000,05/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33147,000,000,06/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33146,000,000,07/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33145,000,000,08/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33144,000,000,09/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33144,000,000,10/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33143,000,000,11/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33142,000,000,12/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33127,000,000,30/06/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33127,000,000,01/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33126,000,000,02/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33125,000,000,03/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33124,000,000,04/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33123,000,000,05/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33122,000,000,06/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33121,000,000,07/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33121,000,000,08/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33120,000,000,09/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33119,000,000,10/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33119,000,000,11/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33118,000,000,12/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33117,000,000,13/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33116,000,000,14/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33116,000,000,15/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33115,000,000,16/07/2010,-39.93275197,-6.733659208
Ceará,DO CORONEL,177,33114,000,000,17/07/2010,-39.93275197,-6.733659208
