Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,EMA,1039,1749,132,1268,15/08/1983,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1722,113,1090,15/09/1983,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,756,7279,01/01/1989,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,769,7401,01/02/1989,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,662,6374,01/03/1989,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,1040,10010,11/04/1989,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,100,960,02/04/1992,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,724,6972,10/05/1992,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,484,4656,05/10/1992,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1987,362,3487,02/01/1995,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,2078,493,4740,25/08/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,484,4655,01/09/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,467,4498,15/09/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,2047,447,4301,29/09/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,429,4131,06/10/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,398,3833,27/10/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,2007,388,3734,06/11/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1982,364,3502,26/11/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1974,347,3338,03/12/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1968,330,3178,18/12/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1946,314,3021,31/12/1997,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1936,302,2910,17/01/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1935,301,2897,30/01/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,293,2823,12/02/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1921,284,2731,26/02/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,284,2731,28/02/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1921,284,2731,05/03/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,254,2447,18/03/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,247,2375,02/04/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,238,2287,16/04/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1870,231,2224,23/04/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,203,1949,30/04/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1852,215,2064,14/05/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,208,2002,20/05/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1839,203,1949,03/06/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,191,1833,10/06/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,182,1754,25/06/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1804,170,1637,02/07/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,147,1419,17/07/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,132,1274,06/08/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,115,1104,27/08/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1710,105,1013,03/09/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,105,1013,10/09/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1695,096,925,17/09/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1707,103,992,08/10/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1707,103,992,21/10/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,103,992,29/10/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1707,103,992,05/11/1998,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,054,516,28/01/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,271,2608,30/01/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,054,516,04/02/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,243,2339,28/02/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,054,516,04/03/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,102,980,25/03/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,234,2252,30/03/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,1705,102,980,01/04/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,096,925,22/04/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,096,925,29/04/1999,-38.3449743134,-5.776328844959999
Ceará,EMA,1039,000,231,2223,30/04/1999,-38.3449743134,-5.776328844959999
