Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,ESCURIDÃO,272,9978,040,1471,05/08/2018,0,0
Ceará,ESCURIDÃO,272,9977,040,1471,06/08/2018,0,0
Ceará,ESCURIDÃO,272,9977,040,1471,07/08/2018,0,0
Ceará,ESCURIDÃO,272,9977,040,1471,08/08/2018,0,0
Ceará,ESCURIDÃO,272,9976,040,1471,09/08/2018,0,0
Ceará,ESCURIDÃO,272,9976,040,1471,10/08/2018,0,0
Ceará,ESCURIDÃO,272,9975,039,1434,11/08/2018,0,0
Ceará,ESCURIDÃO,272,9975,039,1434,12/08/2018,0,0
Ceará,ESCURIDÃO,272,9974,039,1434,13/08/2018,0,0
Ceará,ESCURIDÃO,272,9974,039,1434,14/08/2018,0,0
Ceará,ESCURIDÃO,272,9973,039,1434,15/08/2018,0,0
Ceará,ESCURIDÃO,272,9973,039,1434,16/08/2018,0,0
Ceará,ESCURIDÃO,272,9972,039,1434,17/08/2018,0,0
Ceará,ESCURIDÃO,272,9972,039,1434,18/08/2018,0,0
Ceará,ESCURIDÃO,272,9971,039,1434,19/08/2018,0,0
Ceará,ESCURIDÃO,272,9970,039,1434,20/08/2018,0,0
Ceará,ESCURIDÃO,272,9970,039,1434,21/08/2018,0,0
Ceará,ESCURIDÃO,272,9969,039,1434,22/08/2018,0,0
Ceará,ESCURIDÃO,272,9969,039,1434,23/08/2018,0,0
Ceará,ESCURIDÃO,272,9968,039,1434,24/08/2018,0,0
Ceará,ESCURIDÃO,272,9968,039,1434,25/08/2018,0,0
Ceará,ESCURIDÃO,272,9967,039,1434,26/08/2018,0,0
Ceará,ESCURIDÃO,272,9967,039,1434,27/08/2018,0,0
Ceará,ESCURIDÃO,272,9966,039,1434,28/08/2018,0,0
Ceará,ESCURIDÃO,272,9966,039,1434,29/08/2018,0,0
Ceará,ESCURIDÃO,272,9965,039,1434,30/08/2018,0,0
Ceará,ESCURIDÃO,272,9965,039,1434,31/08/2018,0,0
Ceará,ESCURIDÃO,272,9964,039,1434,01/09/2018,0,0
Ceará,ESCURIDÃO,272,9964,039,1434,02/09/2018,0,0
Ceará,ESCURIDÃO,272,9963,038,1397,03/09/2018,0,0
Ceará,ESCURIDÃO,272,9963,038,1397,04/09/2018,0,0
Ceará,ESCURIDÃO,272,9962,038,1397,05/09/2018,0,0
Ceará,ESCURIDÃO,272,9962,038,1397,06/09/2018,0,0
Ceará,ESCURIDÃO,272,9961,038,1397,07/09/2018,0,0
Ceará,ESCURIDÃO,272,9961,038,1397,08/09/2018,0,0
Ceará,ESCURIDÃO,272,9960,038,1397,09/09/2018,0,0
Ceará,ESCURIDÃO,272,9960,038,1397,10/09/2018,0,0
Ceará,ESCURIDÃO,272,9959,038,1397,11/09/2018,0,0
Ceará,ESCURIDÃO,272,9959,038,1397,12/09/2018,0,0
Ceará,ESCURIDÃO,272,9958,038,1397,13/09/2018,0,0
Ceará,ESCURIDÃO,272,9958,038,1397,14/09/2018,0,0
Ceará,ESCURIDÃO,272,9957,038,1397,15/09/2018,0,0
Ceará,ESCURIDÃO,272,9957,038,1397,16/09/2018,0,0
Ceará,ESCURIDÃO,272,9956,038,1397,17/09/2018,0,0
Ceará,ESCURIDÃO,272,9956,038,1397,18/09/2018,0,0
Ceará,ESCURIDÃO,272,9955,038,1397,19/09/2018,0,0
Ceará,ESCURIDÃO,272,9955,038,1397,20/09/2018,0,0
Ceará,ESCURIDÃO,272,9954,038,1397,21/09/2018,0,0
Ceará,ESCURIDÃO,272,9954,038,1397,22/09/2018,0,0
Ceará,ESCURIDÃO,272,9953,038,1397,23/09/2018,0,0
Ceará,ESCURIDÃO,272,9953,038,1397,24/09/2018,0,0
Ceará,ESCURIDÃO,272,9952,037,1360,25/09/2018,0,0
Ceará,ESCURIDÃO,272,9952,037,1360,26/09/2018,0,0
Ceará,ESCURIDÃO,272,9951,037,1360,27/09/2018,0,0
Ceará,ESCURIDÃO,272,9951,037,1360,28/09/2018,0,0
Ceará,ESCURIDÃO,272,9950,037,1360,29/09/2018,0,0
Ceará,ESCURIDÃO,272,9950,037,1360,30/09/2018,0,0
Ceará,ESCURIDÃO,272,9949,037,1360,01/10/2018,0,0
Ceará,ESCURIDÃO,272,9948,037,1360,02/10/2018,0,0
Ceará,ESCURIDÃO,272,9948,037,1360,03/10/2018,0,0
Ceará,ESCURIDÃO,272,9947,037,1360,04/10/2018,0,0
Ceará,ESCURIDÃO,272,9947,037,1360,05/10/2018,0,0
Ceará,ESCURIDÃO,272,9946,037,1360,06/10/2018,0,0
Ceará,ESCURIDÃO,272,9946,037,1360,07/10/2018,0,0
Ceará,ESCURIDÃO,272,9945,037,1360,08/10/2018,0,0
Ceará,ESCURIDÃO,272,9945,037,1360,09/10/2018,0,0
Ceará,ESCURIDÃO,272,9944,037,1360,10/10/2018,0,0
Ceará,ESCURIDÃO,272,9944,037,1360,11/10/2018,0,0
Ceará,ESCURIDÃO,272,9943,037,1360,12/10/2018,0,0
Ceará,ESCURIDÃO,272,9943,037,1360,13/10/2018,0,0
Ceará,ESCURIDÃO,272,9942,037,1360,14/10/2018,0,0
Ceará,ESCURIDÃO,272,9942,037,1360,15/10/2018,0,0
Ceará,ESCURIDÃO,272,9941,037,1360,16/10/2018,0,0
