Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FACUNDO,175,9507,055,3143,05/08/2018,0,0
Ceará,FACUNDO,175,9506,054,3086,06/08/2018,0,0
Ceará,FACUNDO,175,9504,054,3086,07/08/2018,0,0
Ceará,FACUNDO,175,9503,054,3086,08/08/2018,0,0
Ceará,FACUNDO,175,9502,054,3086,09/08/2018,0,0
Ceará,FACUNDO,175,9499,053,3029,10/08/2018,0,0
Ceará,FACUNDO,175,9498,053,3029,11/08/2018,0,0
Ceará,FACUNDO,175,9497,053,3029,12/08/2018,0,0
Ceará,FACUNDO,175,9496,052,2971,13/08/2018,0,0
Ceará,FACUNDO,175,9495,052,2971,14/08/2018,0,0
Ceará,FACUNDO,175,9494,052,2971,15/08/2018,0,0
Ceará,FACUNDO,175,9493,052,2971,16/08/2018,0,0
Ceará,FACUNDO,175,9492,052,2971,17/08/2018,0,0
Ceará,FACUNDO,175,9491,052,2971,18/08/2018,0,0
Ceará,FACUNDO,175,9490,051,2914,19/08/2018,0,0
Ceará,FACUNDO,175,9489,051,2914,20/08/2018,0,0
Ceará,FACUNDO,175,9489,051,2914,21/08/2018,0,0
Ceará,FACUNDO,175,9488,051,2914,22/08/2018,0,0
Ceará,FACUNDO,175,9487,051,2914,23/08/2018,0,0
Ceará,FACUNDO,175,9487,051,2914,24/08/2018,0,0
Ceará,FACUNDO,175,9486,051,2914,25/08/2018,0,0
Ceará,FACUNDO,175,9486,051,2914,26/08/2018,0,0
Ceará,FACUNDO,175,9485,050,2857,27/08/2018,0,0
Ceará,FACUNDO,175,9485,050,2857,28/08/2018,0,0
Ceará,FACUNDO,175,9484,050,2857,29/08/2018,0,0
Ceará,FACUNDO,175,9484,050,2857,30/08/2018,0,0
Ceará,FACUNDO,175,9483,050,2857,31/08/2018,0,0
Ceará,FACUNDO,175,9483,050,2857,01/09/2018,0,0
Ceará,FACUNDO,175,9482,050,2857,02/09/2018,0,0
Ceará,FACUNDO,175,9481,050,2857,03/09/2018,0,0
Ceará,FACUNDO,175,9480,050,2857,04/09/2018,0,0
Ceará,FACUNDO,175,9480,050,2857,05/09/2018,0,0
Ceará,FACUNDO,175,9480,050,2857,06/09/2018,0,0
Ceará,FACUNDO,175,9480,050,2857,07/09/2018,0,0
Ceará,FACUNDO,175,9479,049,2800,08/09/2018,0,0
Ceará,FACUNDO,175,9479,049,2800,09/09/2018,0,0
Ceará,FACUNDO,175,9479,049,2800,10/09/2018,0,0
Ceará,FACUNDO,175,9477,049,2800,11/09/2018,0,0
Ceará,FACUNDO,175,9475,049,2800,12/09/2018,0,0
Ceará,FACUNDO,175,9473,048,2743,13/09/2018,0,0
Ceará,FACUNDO,175,9471,048,2743,14/09/2018,0,0
Ceará,FACUNDO,175,9469,048,2743,15/09/2018,0,0
Ceará,FACUNDO,175,9467,047,2686,16/09/2018,0,0
Ceará,FACUNDO,175,9465,047,2686,17/09/2018,0,0
Ceará,FACUNDO,175,9463,047,2686,18/09/2018,0,0
Ceará,FACUNDO,175,9461,046,2629,19/09/2018,0,0
Ceará,FACUNDO,175,9459,046,2629,20/09/2018,0,0
Ceará,FACUNDO,175,9458,046,2629,21/09/2018,0,0
Ceará,FACUNDO,175,9456,045,2571,22/09/2018,0,0
Ceará,FACUNDO,175,9454,045,2571,23/09/2018,0,0
Ceará,FACUNDO,175,9452,045,2571,24/09/2018,0,0
Ceará,FACUNDO,175,9450,044,2514,25/09/2018,0,0
Ceará,FACUNDO,175,9448,044,2514,26/09/2018,0,0
Ceará,FACUNDO,175,9446,043,2457,27/09/2018,0,0
Ceará,FACUNDO,175,9444,043,2457,28/09/2018,0,0
Ceará,FACUNDO,175,9442,043,2457,29/09/2018,0,0
Ceará,FACUNDO,175,9440,042,2400,30/09/2018,0,0
Ceará,FACUNDO,175,9438,042,2400,01/10/2018,0,0
Ceará,FACUNDO,175,9436,042,2400,02/10/2018,0,0
Ceará,FACUNDO,175,9434,041,2343,03/10/2018,0,0
Ceará,FACUNDO,175,9432,041,2343,04/10/2018,0,0
Ceará,FACUNDO,175,9430,041,2343,05/10/2018,0,0
Ceará,FACUNDO,175,9427,040,2286,06/10/2018,0,0
Ceará,FACUNDO,175,9425,040,2286,07/10/2018,0,0
Ceará,FACUNDO,175,9422,039,2229,08/10/2018,0,0
Ceará,FACUNDO,175,9419,039,2229,09/10/2018,0,0
Ceará,FACUNDO,175,9417,038,2171,10/10/2018,0,0
Ceará,FACUNDO,175,9415,038,2171,11/10/2018,0,0
Ceará,FACUNDO,175,9413,038,2171,12/10/2018,0,0
Ceará,FACUNDO,175,9411,037,2114,13/10/2018,0,0
Ceará,FACUNDO,175,9409,037,2114,14/10/2018,0,0
Ceará,FACUNDO,175,9408,037,2114,15/10/2018,0,0
Ceará,FACUNDO,175,9406,036,2057,16/10/2018,0,0
