Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,FORQUILHA II,340,000,139,4088,05/10/1992,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,000,000,02/01/1995,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9688,250,7347,25/08/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,247,7268,01/09/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,242,7126,15/09/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9667,236,6926,29/09/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,232,6826,06/10/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,221,6488,27/10/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9638,216,6347,06/11/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9626,208,6106,26/11/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9622,205,6026,03/12/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9611,197,5806,18/12/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9603,192,5647,31/12/1997,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9596,188,5526,17/01/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9590,185,5438,30/01/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,183,5391,12/02/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9585,182,5362,26/02/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,182,5362,28/02/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9585,182,5362,05/03/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,176,5168,18/03/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,174,5106,02/04/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,172,5062,16/04/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9560,170,4988,23/04/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9550,165,4838,14/05/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,160,4703,20/05/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,161,4732,30/05/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9539,159,4671,03/06/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,157,4612,10/06/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,151,4447,25/06/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9520,149,4388,02/07/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,143,4206,17/07/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,135,3979,06/08/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,127,3735,27/08/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9468,124,3653,03/09/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,122,3574,10/09/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9457,119,3506,17/09/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9437,110,3235,08/10/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9423,104,3044,22/10/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,100,2950,29/10/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9409,097,2856,05/11/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9403,094,2774,19/11/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,089,2626,26/11/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9366,082,2403,24/12/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,079,2318,31/12/1998,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,077,2268,07/01/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,077,2268,14/01/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9346,075,2209,28/01/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9436,110,3221,04/03/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,110,3247,11/03/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,110,3247,25/03/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9444,113,3329,01/04/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,116,3397,22/04/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,115,3371,29/04/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,111,3276,13/05/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9440,111,3276,27/05/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9438,110,3247,02/06/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9419,102,2991,01/07/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9406,096,2818,22/07/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,094,2774,29/07/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9396,092,2694,05/08/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9392,090,2656,12/08/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,080,2347,23/09/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9354,078,2288,30/09/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,072,2112,21/10/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9333,071,2082,28/10/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9328,069,2035,04/11/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,9315,065,1909,18/11/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,159,4676,30/12/1999,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,064,1871,13/01/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,062,1812,27/01/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,061,1782,03/02/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,060,1753,17/02/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,058,1718,24/02/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,059,1741,02/03/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,059,1741,09/03/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,059,1741,16/03/2000,-40.3993464,-5.9427898
Ceará,FORQUILHA II,340,000,059,1729,23/03/2000,-40.3993464,-5.9427898
