Estado,Nome,Capacidade(hm³),Cota(m),Volume Útil(hm³),Volume (%),Data da Medição,Latitude,Longitude
Ceará,GERMINAL,211,35410,211,10014,05/08/2018,0,0
Ceará,GERMINAL,211,35410,211,10014,06/08/2018,0,0
Ceará,GERMINAL,211,35409,211,10014,07/08/2018,0,0
Ceará,GERMINAL,211,35408,211,10014,08/08/2018,0,0
Ceará,GERMINAL,211,35406,211,10014,09/08/2018,0,0
Ceará,GERMINAL,211,35404,211,10014,10/08/2018,0,0
Ceará,GERMINAL,211,35403,211,10014,11/08/2018,0,0
Ceará,GERMINAL,211,35402,211,10014,12/08/2018,0,0
Ceará,GERMINAL,211,35400,211,10014,13/08/2018,0,0
Ceará,GERMINAL,211,35399,210,9967,14/08/2018,0,0
Ceará,GERMINAL,211,35398,210,9967,15/08/2018,0,0
Ceará,GERMINAL,211,35398,210,9967,16/08/2018,0,0
Ceará,GERMINAL,211,35398,210,9967,17/08/2018,0,0
Ceará,GERMINAL,211,35397,210,9967,18/08/2018,0,0
Ceará,GERMINAL,211,35397,210,9967,19/08/2018,0,0
Ceará,GERMINAL,211,35397,210,9967,20/08/2018,0,0
Ceará,GERMINAL,211,35397,210,9967,21/08/2018,0,0
Ceará,GERMINAL,211,35397,210,9967,22/08/2018,0,0
Ceará,GERMINAL,211,35396,210,9967,23/08/2018,0,0
Ceará,GERMINAL,211,35395,210,9967,24/08/2018,0,0
Ceará,GERMINAL,211,35395,210,9967,25/08/2018,0,0
Ceará,GERMINAL,211,35395,210,9967,26/08/2018,0,0
Ceará,GERMINAL,211,35395,210,9967,27/08/2018,0,0
Ceará,GERMINAL,211,35393,209,9919,28/08/2018,0,0
Ceará,GERMINAL,211,35392,209,9919,29/08/2018,0,0
Ceará,GERMINAL,211,35391,209,9919,30/08/2018,0,0
Ceará,GERMINAL,211,35391,209,9919,31/08/2018,0,0
Ceará,GERMINAL,211,35391,209,9919,01/09/2018,0,0
Ceará,GERMINAL,211,35390,208,9872,02/09/2018,0,0
Ceará,GERMINAL,211,35390,208,9872,03/09/2018,0,0
Ceará,GERMINAL,211,35390,208,9872,04/09/2018,0,0
Ceará,GERMINAL,211,35388,208,9872,05/09/2018,0,0
Ceará,GERMINAL,211,35387,208,9872,06/09/2018,0,0
Ceará,GERMINAL,211,35386,207,9824,07/09/2018,0,0
Ceará,GERMINAL,211,35385,207,9824,08/09/2018,0,0
Ceará,GERMINAL,211,35384,207,9824,09/09/2018,0,0
Ceará,GERMINAL,211,35383,207,9824,10/09/2018,0,0
Ceará,GERMINAL,211,35382,206,9777,11/09/2018,0,0
Ceará,GERMINAL,211,35381,206,9777,12/09/2018,0,0
Ceará,GERMINAL,211,35381,206,9777,13/09/2018,0,0
Ceará,GERMINAL,211,35380,206,9777,14/09/2018,0,0
Ceará,GERMINAL,211,35380,206,9777,15/09/2018,0,0
Ceará,GERMINAL,211,35379,206,9777,16/09/2018,0,0
Ceará,GERMINAL,211,35379,206,9777,17/09/2018,0,0
Ceará,GERMINAL,211,35378,205,9729,18/09/2018,0,0
Ceará,GERMINAL,211,35377,205,9729,19/09/2018,0,0
Ceará,GERMINAL,211,35376,205,9729,20/09/2018,0,0
Ceará,GERMINAL,211,35375,205,9729,21/09/2018,0,0
Ceará,GERMINAL,211,35375,205,9729,22/09/2018,0,0
Ceará,GERMINAL,211,35374,204,9682,23/09/2018,0,0
Ceará,GERMINAL,211,35374,204,9682,24/09/2018,0,0
Ceará,GERMINAL,211,35373,204,9682,25/09/2018,0,0
Ceará,GERMINAL,211,35372,204,9682,26/09/2018,0,0
Ceará,GERMINAL,211,35372,204,9682,27/09/2018,0,0
Ceará,GERMINAL,211,35372,204,9682,28/09/2018,0,0
Ceará,GERMINAL,211,35371,204,9682,29/09/2018,0,0
Ceará,GERMINAL,211,35370,203,9635,30/09/2018,0,0
Ceará,GERMINAL,211,35369,203,9635,01/10/2018,0,0
Ceará,GERMINAL,211,35369,203,9635,02/10/2018,0,0
Ceará,GERMINAL,211,35368,203,9635,03/10/2018,0,0
Ceará,GERMINAL,211,35367,203,9635,04/10/2018,0,0
Ceará,GERMINAL,211,35367,203,9635,05/10/2018,0,0
Ceará,GERMINAL,211,35366,203,9635,06/10/2018,0,0
Ceará,GERMINAL,211,35366,203,9635,07/10/2018,0,0
Ceará,GERMINAL,211,35365,202,9587,08/10/2018,0,0
Ceará,GERMINAL,211,35365,202,9587,09/10/2018,0,0
Ceará,GERMINAL,211,35364,202,9587,10/10/2018,0,0
Ceará,GERMINAL,211,35364,202,9587,11/10/2018,0,0
Ceará,GERMINAL,211,35363,202,9587,12/10/2018,0,0
Ceará,GERMINAL,211,35362,202,9587,13/10/2018,0,0
Ceará,GERMINAL,211,35362,202,9587,14/10/2018,0,0
Ceará,GERMINAL,211,35361,201,9540,15/10/2018,0,0
Ceará,GERMINAL,211,35360,201,9540,16/10/2018,0,0
Ceará,GERMINAL,211,35360,201,9540,17/10/2018,0,0
Ceará,GERMINAL,211,35359,201,9540,18/10/2018,0,0
